Hotspot,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Agricultural sector,9.53036492315251,1.1378834703829874,84.8070431276047,98.86700031997407,19.728005140382518
Electricity sector,6.70389771676201,0.22148777031315156,4.340916204048488,0.04474814612900005,5.401496618814072
Fossil fuel industry,10.53285096178593,0.4121174976098612,0.07248002338583627,0.0351497409395981,5.032464285065847
Mining of minerals and metals,1.8288651943583998,85.31696958825643,0.03973024504661393,0.010233808426189097,0.11994748508660079
Operational impacts,2.3071598049114317,0.0,0.0,0.0,18.869422299767173
Other,29.31139472491323,6.045068492805041,3.6013276333885473,0.9235575268435684,29.9602736596012
Pharmaceutical and chemical industry,5.722373815171522,6.1695202973796714,7.089846195562152,0.014189416283326825,19.077250531141296
Transport,34.063092858944955,0.6969528832528543,0.04865657096365033,0.10512104140423702,1.8111399801412804
