,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"5,583 (100·0%)","3,579 (100·0%)",77 (100·0%),"4,257 (100·0%)",227 (100·0%),"40,597 (100·0%)"
Health-care services,Top-down,"3,791 (67·9%)","2,354 (65·8%)",46 (59·5%),"3,122 (73·3%)",168 (74·2%),"37,552 (92·5%)"
Pharmaceuticals and chemical products,Top-down,992 (17·8%),"1,116 (31·2%)",30 (38·7%),"1,070 (25·1%)",55 (24·2%),"1,950 (4·8%)"
Medical appliances,Top-down,172 (3·1%),82 (2·3%),1 (1·5%),64 (1·5%),4 (1·6%),"1,094 (2·7%)"
Release of anaesthetic gases,Bottom-up,12 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,604 (10·8%),28 (0·8%),0 (0·3%),2 (<0·1%),0 (<0·1%),NA
