producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
DNK,Denmark,Denmark,Minerals and Metals,material_extraction,kt,1578.1125363013102,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,Denmark,Denmark,Transport,climate_change,kt CO2eq,918.4973994666203,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Africa,RoW Africa,Africa,Food and catering,land_use,km2,913.8133838082799,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Food and catering,land_use,km2,501.0908850105643,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Europe,RoW Europe,Europe,Food and catering,land_use,km2,394.1269387438357,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,Denmark,Denmark,Food and catering,land_use,km2,369.8486587742045,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,Denmark,Denmark,Private travel,climate_change,kt CO2eq,358.1692971207127,2022,EXIOBASE v3.8.2 IOT_2022_ixi
CHN,China,Asia and Pacific,Minerals and Metals,material_extraction,kt,342.10114144636395,2022,EXIOBASE v3.8.2 IOT_2022_ixi
GLO,Unallocated,Unallocated,Private travel,climate_change,kt CO2eq,245.7291104137513,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RUS,Russia,Europe,Food and catering,land_use,km2,236.07509185460398,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Transport,climate_change,kt CO2eq,209.74164191519705,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,Denmark,Denmark,Services,climate_change,kt CO2eq,199.87376652550597,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW America,RoW America,America,Food and catering,land_use,km2,188.72494065497253,2022,EXIOBASE v3.8.2 IOT_2022_ixi
AUS,Australia,Asia and Pacific,Food and catering,land_use,km2,186.4942890942611,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Middle East,RoW Middle East,Middle East,Minerals and Metals,material_extraction,kt,178.44847248890196,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Middle East,RoW Middle East,Middle East,Food and catering,land_use,km2,175.6111626846054,2022,EXIOBASE v3.8.2 IOT_2022_ixi
CHN,China,Asia and Pacific,Food and catering,land_use,km2,171.0594897459216,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Minerals and Metals,material_extraction,kt,150.46381958037756,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Europe,RoW Europe,Europe,Chemical,material_extraction,kt,139.8049426169696,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DEU,Germany,Europe,Transport,climate_change,kt CO2eq,138.62956151664983,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Middle East,RoW Middle East,Middle East,Transport,climate_change,kt CO2eq,133.6770090551483,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,Denmark,Denmark,Operational impact,climate_change,kt CO2eq,130.3030621077094,2022,EXIOBASE v3.8.2 IOT_2022_ixi
USA,United States,America,Food and catering,land_use,km2,123.08124859315788,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,Denmark,Denmark,Food and catering,climate_change,kt CO2eq,122.30200449744905,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RUS,Russia,Europe,Coal and Petroleum,climate_change,kt CO2eq,117.81864046698857,2022,EXIOBASE v3.8.2 IOT_2022_ixi
NOR,Norway,Europe,Food and catering,land_use,km2,112.46761764194389,2022,EXIOBASE v3.8.2 IOT_2022_ixi
SWE,Sweden,Europe,Food and catering,land_use,km2,111.72890793218303,2022,EXIOBASE v3.8.2 IOT_2022_ixi
IND,India,Asia and Pacific,Minerals and Metals,material_extraction,kt,102.29618738178773,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,Denmark,Denmark,Non-metallic mineral products,material_extraction,kt,101.63183444220408,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,Denmark,Denmark,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,92.7907260007145,2022,EXIOBASE v3.8.2 IOT_2022_ixi
IND,India,Asia and Pacific,Food and catering,land_use,km2,91.10816917185271,2022,EXIOBASE v3.8.2 IOT_2022_ixi
BRA,Brazil,America,Food and catering,land_use,km2,90.67515174152868,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,Denmark,Denmark,Waste management and disposal,climate_change,kt CO2eq,85.74781402965851,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Africa,RoW Africa,Africa,Food and catering,climate_change,kt CO2eq,72.89423958180029,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,Denmark,Denmark,Electricity,climate_change,kt CO2eq,72.77771873922183,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DEU,Germany,Europe,Minerals and Metals,material_extraction,kt,64.24059359637312,2022,EXIOBASE v3.8.2 IOT_2022_ixi
POL,Poland,Europe,Food and catering,land_use,km2,63.66307146995013,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Africa,RoW Africa,Africa,Minerals and Metals,material_extraction,kt,61.01159780088746,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Europe,RoW Europe,Europe,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,59.62547105464905,2022,EXIOBASE v3.8.2 IOT_2022_ixi
USA,United States,America,Coal and Petroleum,climate_change,kt CO2eq,58.83422880494486,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Middle East,RoW Middle East,Middle East,Services,climate_change,kt CO2eq,57.62834275138343,2022,EXIOBASE v3.8.2 IOT_2022_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Food and catering,climate_change,kt CO2eq,56.92710049782362,2022,EXIOBASE v3.8.2 IOT_2022_ixi
POL,Poland,Europe,Minerals and Metals,material_extraction,kt,54.795286002677344,2022,EXIOBASE v3.8.2 IOT_2022_ixi
