indicator,unit,purchased_sector_group,value,expenditure_meur,footprint
waste_generation,kt per MEUR,Chemical,0.038004599393244284,1668.4634076887278,63.40928341149731
waste_generation,kt per MEUR,Coal and Petroleum,0.03344166990156974,42.94597696745867,1.43618518534617
waste_generation,kt per MEUR,Food and catering,0.026434110892301844,1284.4301073580693,33.952767891314366
waste_generation,kt per MEUR,Metal Products,0.022215522474129678,32.2736450382239,0.7169758866687468
blue_water_consumption,Mm3 per MEUR,Chemical,0.022005348303724602,1668.4634076887278,36.71511841820971
blue_water_consumption,Mm3 per MEUR,Textile,0.019456427054813537,13.55024822728623,0.263639416208811
waste_generation,kt per MEUR,Non-metallic mineral products,0.016364866162307114,16.11691331318276,0.2637511293197416
waste_generation,kt per MEUR,Transport Equipment,0.01615677920227439,8.024688157744466,0.1296531147317834
waste_generation,kt per MEUR,Minerals and Metals,0.015977351943110212,9.498691661419093,0.15176393967357912
waste_generation,kt per MEUR,Textile,0.015742035901685623,13.55024822728623,0.21330849407069183
blue_water_consumption,Mm3 per MEUR,Food and catering,0.015646429008020133,1284.4301073580693,20.09674449054171
waste_generation,kt per MEUR,Construction,0.011330506442269937,112.72615168426316,1.2772443878708417
waste_generation,kt per MEUR,General and special Machinery,0.011159044400742514,47.11724185778186,0.5257833939315115
waste_generation,kt per MEUR,Natural gas and gaseous fuels,0.010219510793638172,2.0377995143162773,0.02082531413182582
waste_generation,kt per MEUR,Furniture and timber,0.006990979805629161,44.31021593889519,0.30977182481188364
waste_generation,kt per MEUR,Electricity,0.00656274945624997,112.13825954475429,0.7359353018521542
waste_generation,kt per MEUR,Transport,0.00642561650829917,1986.798758790186,12.76640690315052
waste_generation,kt per MEUR,"Electrical, electronic and measuring equipment",0.0061814785233206505,745.19314916231,4.606395447272501
blue_water_consumption,Mm3 per MEUR,Minerals and Metals,0.005937710874565317,9.498691661419093,0.05640048477215105
blue_water_consumption,Mm3 per MEUR,Metal Products,0.0050368963728222894,32.27079952041596,0.16254467305245845
waste_generation,kt per MEUR,Services,0.004700510708931422,6877.142352899407,32.326081276649504
blue_water_consumption,Mm3 per MEUR,Paper Products,0.0046068334847921485,73.51009314820355,0.338648758585334
blue_water_consumption,Mm3 per MEUR,Non-metallic mineral products,0.004432864183493609,16.11691331318276,0.07144408777447918
blue_water_consumption,Mm3 per MEUR,Transport Equipment,0.004100912041145414,8.024688157744466,0.03290854029253129
blue_water_consumption,Mm3 per MEUR,General and special Machinery,0.0035429799158008006,47.11724185778186,0.16693544159004994
blue_water_consumption,Mm3 per MEUR,Coal and Petroleum,0.003125938978324666,42.94597696745867,0.1342465033648124
blue_water_consumption,Mm3 per MEUR,Electricity,0.0025930509183420165,112.13825954475429,0.2907802168938005
blue_water_consumption,Mm3 per MEUR,Construction,0.002586308794486459,112.72615168426316,0.2915446374696244
blue_water_consumption,Mm3 per MEUR,Waste management and disposal,0.002411478647941282,318.71727849615723,0.7685799118234383
blue_water_consumption,Mm3 per MEUR,Natural gas and gaseous fuels,0.002212687387985456,2.0377995143162773,0.004509013284570514
blue_water_consumption,Mm3 per MEUR,Transport,0.002102472352876305,1986.798758790186,4.177189461085325
blue_water_consumption,Mm3 per MEUR,"Electrical, electronic and measuring equipment",0.00203674509182165,745.19314916231,1.5177684890154537
blue_water_consumption,Mm3 per MEUR,"Steam, hot water supply and water distribution",0.0019322333855864408,8.301971500923708,0.01604134650027196
blue_water_consumption,Mm3 per MEUR,Furniture and timber,0.001905951775559585,44.31021593889519,0.08445313474416591
blue_water_consumption,Mm3 per MEUR,Services,0.001676280520941623,6877.142352899407,11.528019765907917
