mrio_vintage,mrio_year,country_producing,sector_producing,exiobase_industry_index,value,unit,variable
v3.10.2,2016,AUT,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,BEL,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,BGR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,CYP,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,CZE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,DEU,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4.6367073868,M.EUR,total_industry_output
v3.10.2,2016,DNK,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,EST,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,ESP,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,FIN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,FRA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,GRC,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,194.130631716,M.EUR,total_industry_output
v3.10.2,2016,HRV,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,HUN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,IRL,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,ITA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,LTU,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,LUX,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,163.815836624,M.EUR,total_industry_output
v3.10.2,2016,LVA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,MLT,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,NLD,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,POL,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,PRT,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,ROU,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,SWE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,SVN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,SVK,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,GBR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,10.0495808736,M.EUR,total_industry_output
v3.10.2,2016,USA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,10000.2825063,M.EUR,total_industry_output
v3.10.2,2016,JPN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,24571.5739495,M.EUR,total_industry_output
v3.10.2,2016,CHN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,46385.0265276,M.EUR,total_industry_output
v3.10.2,2016,CAN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4778.20871427,M.EUR,total_industry_output
v3.10.2,2016,KOR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,6531.61911528,M.EUR,total_industry_output
v3.10.2,2016,BRA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,6273.39215661,M.EUR,total_industry_output
v3.10.2,2016,IND,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,2158.58892966,M.EUR,total_industry_output
v3.10.2,2016,MEX,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4438.79776604,M.EUR,total_industry_output
v3.10.2,2016,RUS,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,9846.77328203,M.EUR,total_industry_output
v3.10.2,2016,AUS,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,2526.80678718,M.EUR,total_industry_output
v3.10.2,2016,CHE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,TUR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,1553.31757449,M.EUR,total_industry_output
v3.10.2,2016,TWN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,5536.32814886,M.EUR,total_industry_output
v3.10.2,2016,NOR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2016,IDN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,1430.30694707,M.EUR,total_industry_output
v3.10.2,2016,ZAF,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,297.710137925,M.EUR,total_industry_output
v3.10.2,2016,RoW Asia and Pacific,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,10283.3433449,M.EUR,total_industry_output
v3.10.2,2016,RoW America,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,11075.9558585,M.EUR,total_industry_output
v3.10.2,2016,RoW Europe,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,801.28240686,M.EUR,total_industry_output
v3.10.2,2016,RoW Africa,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,3462.77798876,M.EUR,total_industry_output
