mrio_vintage,mrio_year,country_producing,sector_producing,exiobase_industry_index,dst_nace_prefixes,exiobase_output_meur,national_accounts_output_meur,ratio_exiobase_over_dst,unit,source_national_accounts
v3.10.2,2019,DNK,Machinery n.e.c.,85,28,41510.6483693,21072.195477898662,1.969925175230933,M.EUR,"Statistics Denmark, published 117-industry IO table 2019, 'Total Output' row"
v3.10.2,2019,DNK,Electrical machinery n.e.c.,87,27,0.0,2662.0645837384095,0.0,M.EUR,"Statistics Denmark, published 117-industry IO table 2019, 'Total Output' row"
v3.10.2,2019,DNK,Medical/precision instruments,89,26,0.0,5048.2144335775865,0.0,M.EUR,"Statistics Denmark, published 117-industry IO table 2019, 'Total Output' row"
v3.10.2,2019,DNK,Public administration,135,84,20896.9888746,21749.812237051545,0.960789391965475,M.EUR,"Statistics Denmark, published 117-industry IO table 2019, 'Total Output' row"
v3.10.2,2019,DNK,Post and telecommunications,126,61,8422.33699987,6346.986649116212,1.326981994052685,M.EUR,"Statistics Denmark, published 117-industry IO table 2019, 'Total Output' row"
v3.10.2,2019,DNK,Construction,112,41;42;43,33792.9468198,39825.10300613227,0.848533820856573,M.EUR,"Statistics Denmark, published 117-industry IO table 2019, 'Total Output' row"
v3.10.2,2019,DNK,Sea and coastal water transport,122,50,34656.9938401,33207.88843818837,1.0436373846716853,M.EUR,"Statistics Denmark, published 117-industry IO table 2019, 'Total Output' row"
v3.10.2,2019,DNK,TOTAL (all 163 industries),all,all,595627.1567774601,549465.1293082277,1.0840126606894054,M.EUR,Statistics Denmark 2019
v3.8.2,2016,DNK,Health and social work,137,86;87;88,37163.1126893,36639.50881104604,1.014290690438953,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Education,136,85,16617.4759205,20923.63898368072,0.7941962644958992,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Financial intermediation,127,64,17186.6374784,16828.475742608367,1.0212830764514695,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Insurance and pensions,128,65,5435.50677768,4438.678949505471,1.224577591556963,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Real estate,130,68,37718.8417245,38013.14739698061,0.992257792563002,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Machinery n.e.c.,85,28,15724.6818207,18951.304134817685,0.8297414103449654,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Electrical machinery n.e.c.,87,27,9127.58383205,2459.5280691242533,3.7111118781823844,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Medical/precision instruments,89,26,4918.96974143,4712.315019613397,1.0438541822769642,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Public administration,135,84,23070.2779819,20084.486384091324,1.148661585898143,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Post and telecommunications,126,61,16098.1771497,5588.846102186643,2.8804116011356204,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Construction,112,41;42;43,38384.5078221,35525.11081985193,1.0804894604480784,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,Sea and coastal water transport,122,50,15432.1000202,24391.44227153065,0.6326850150313633,M.EUR,"Statistics Denmark, published 117-industry IO table 2016, 'Total Output' row"
v3.8.2,2016,DNK,TOTAL (all 163 industries),all,all,511735.34235037473,492163.59434532584,1.0397667528234857,M.EUR,Statistics Denmark 2016
v3.8.2,2022,DNK,Health and social work,137,86;87;88,43955.4580076,45320.98661218329,0.9698698394130677,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Education,136,85,20241.2609601,22935.119898919296,0.8825443707862966,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Financial intermediation,127,64,21004.2006448,18979.936683105752,1.1066528300642893,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Insurance and pensions,128,65,6811.4472233,5862.402803042696,1.1618865936275706,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Real estate,130,68,45672.9882384,46965.1161352757,0.9724874970360144,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Machinery n.e.c.,85,28,18700.4424864,21149.99451979678,0.8841819069454626,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Electrical machinery n.e.c.,87,27,11047.0361492,3298.8305010803074,3.348773495813833,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Medical/precision instruments,89,26,6276.27364241,5830.854395688722,1.0763900479234427,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Public administration,135,84,26657.1316783,24680.741034464212,1.0800782537718765,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Post and telecommunications,126,61,17503.0346069,6612.368541318837,2.647014378815767,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Construction,112,41;42;43,49265.1514871,51314.939912267844,0.960054743732092,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,Sea and coastal water transport,122,50,17804.5251342,78950.17787545634,0.22551595972698862,M.EUR,"Statistics Denmark, published 117-industry IO table 2022, 'Total Output' row"
v3.8.2,2022,DNK,TOTAL (all 163 industries),all,all,592645.3696540173,706280.6345155549,0.8391074888532358,M.EUR,Statistics Denmark 2022
