producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
GBR,United Kingdom,Europe,Scope 3,blue_water_consumption,Mm3,0.6959434345070604,0.7303016010763709
POL,Poland,Europe,Scope 3,blue_water_consumption,Mm3,0.48772135967530056,0.5117997701958391
GRC,Greece,Europe,Scope 3,blue_water_consumption,Mm3,0.4447964664975706,0.4667557096308703
IRL,Ireland,Europe,Scope 3,blue_water_consumption,Mm3,0.38215544409152014,0.4010221504248666
FRA,France,Europe,Scope 3,blue_water_consumption,Mm3,0.34782268517502896,0.36499441086605877
MEX,Mexico,America,Scope 3,blue_water_consumption,Mm3,0.32115948062668503,0.3370148653944149
ITA,Italy,Europe,Scope 3,blue_water_consumption,Mm3,0.28355826515317506,0.29755730821209575
BEL,Belgium,Europe,Scope 3,blue_water_consumption,Mm3,0.24508539674644975,0.25718506529362767
BRA,Brazil,America,Scope 3,blue_water_consumption,Mm3,0.24120793246961042,0.2531161737299075
NLD,Netherlands,Europe,Scope 3,blue_water_consumption,Mm3,0.22818135704232376,0.23944648677061048
ROU,Romania,Europe,Scope 3,blue_water_consumption,Mm3,0.2277532632144149,0.23899725829537644
SWE,Sweden,Europe,Scope 3,blue_water_consumption,Mm3,0.21757040118884302,0.22831167657696813
PRT,Portugal,Europe,Scope 3,blue_water_consumption,Mm3,0.1841597781482497,0.1932515979991928
NOR,Norway,Europe,Scope 3,blue_water_consumption,Mm3,0.17319894977823322,0.18174964236480115
ZAF,South Africa,Africa,Scope 3,blue_water_consumption,Mm3,0.15769275876149724,0.1654779231924818
FIN,Finland,Europe,Scope 3,blue_water_consumption,Mm3,0.09295396519933406,0.0975430275587753
IDN,Indonesia,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.08182786276275962,0.08586763841033783
CAN,Canada,America,Scope 3,blue_water_consumption,Mm3,0.07432094183065927,0.07799010684090826
HUN,Hungary,Europe,Scope 3,blue_water_consumption,Mm3,0.07061966747690263,0.0741061035547993
LVA,Latvia,Europe,Scope 3,blue_water_consumption,Mm3,0.07061304007242607,0.07409914896070409
BGR,Bulgaria,Europe,Scope 3,blue_water_consumption,Mm3,0.057528247371358754,0.060368370587731424
SVK,Slovakia,Europe,Scope 3,blue_water_consumption,Mm3,0.05695791403267715,0.0597698803516946
AUT,Austria,Europe,Scope 3,blue_water_consumption,Mm3,0.03926894545072821,0.04120762164465327
CZE,Czech Republic,Europe,Scope 3,blue_water_consumption,Mm3,0.03879326741948528,0.040708459772309975
HRV,Croatia,Europe,Scope 3,blue_water_consumption,Mm3,0.03872660783012368,0.040638509252735995
KOR,South Korea,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.033346577448135926,0.03499287110602636
CHE,Switzerland,Europe,Scope 3,blue_water_consumption,Mm3,0.02471060245644275,0.025930544987875392
JPN,Japan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.0234026973890356,0.02455806970120229
LTU,Lithuania,Europe,Scope 3,blue_water_consumption,Mm3,0.01365476183510786,0.014328886423878784
TWN,Taiwan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.01140624893130033,0.011969366249865476
SVN,Slovenia,Europe,Scope 3,blue_water_consumption,Mm3,0.009157018103583848,0.009609092708618336
EST,Estonia,Europe,Scope 3,blue_water_consumption,Mm3,0.004150251332353843,0.0043551458963531665
CYP,Cyprus,Middle East,Scope 3,blue_water_consumption,Mm3,0.0028803563857447544,0.0030225572595133122
LUX,Luxembourg,Europe,Scope 3,blue_water_consumption,Mm3,0.0017404243679522244,0.00182634771656136
MLT,Malta,Europe,Scope 3,blue_water_consumption,Mm3,0.0013792494317452924,0.0014473418647892179
DNK,Denmark,Denmark,Outside protocol,climate_change,kt CO2eq,263.56770753446403,100.0
DNK,Denmark,Denmark,Scope 1,climate_change,kt CO2eq,130.1262816237094,100.0
DNK,Denmark,Denmark,Scope 2,climate_change,kt CO2eq,62.7074282279024,85.50056085896844
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,climate_change,kt CO2eq,1.7515925630858735,2.388268037335995
DEU,Germany,Europe,Scope 2,climate_change,kt CO2eq,1.745114465623376,2.379435256563523
RoW Europe,RoW Europe,Europe,Scope 2,climate_change,kt CO2eq,1.1754065499029818,1.602647757914146
GRC,Greece,Europe,Scope 2,climate_change,kt CO2eq,0.7811636669884818,1.0651039842907268
CZE,Czech Republic,Europe,Scope 2,climate_change,kt CO2eq,0.5916397874069076,0.8066912498137314
ITA,Italy,Europe,Scope 2,climate_change,kt CO2eq,0.5531139798955613,0.7541619364157525
GBR,United Kingdom,Europe,Scope 2,climate_change,kt CO2eq,0.5084867220285755,0.6933133944637915
RUS,Russia,Europe,Scope 2,climate_change,kt CO2eq,0.4405547567847128,0.600689262160152
