,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Expenditure (MEUR)
Total,4712.417605953854,4259.384222540152,95.50495307556376,4855.460127817173,259.4180916719396,40596.97766008925
Healthcare services,2463.440015417837,2274.2511867557278,43.778876345367905,2991.265753386628,163.03399481107667,37552.28493467391
Pharmaceuticals and chemical products,1441.3751858375613,1828.6029631579431,49.50356888410434,1758.8833086862246,90.18586013200851,1950.3076778321415
Medical appliances,157.13598517747778,130.89497262647933,2.044907846091662,103.64186574432816,6.1982367288557185,1094.3850475832037
Release of anaesthetic gases,11.5721119865,0,0,0,0,NA
Release of pMDI propellants,11.6,0,0,0,0,NA
Private travel,627.294307534464,25.6351,0.1776,1.6692,0.0,NA
