indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,22.04244672055491,23.093463646187804
blue_water_consumption,Mm3,imported,73.4064086710165,76.9065363538122
climate_change,kt CO2eq,domestic,2869.8305780978094,61.38062330934229
climate_change,kt CO2eq,imported,1805.6360812005391,38.61937669065771
land_use,km2,domestic,1548.5919053353248,31.917718078424162
land_use,km2,imported,3303.233345863152,68.08228192157584
material_extraction,kt,domestic,2585.694112937363,60.737420143278555
material_extraction,kt,imported,1671.4740493549339,39.262579856721445
waste_generation,kt,domestic,169.35816143052566,65.31988112611198
waste_generation,kt,imported,89.91689925666199,34.68011887388803
