,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),4675.46665929835,77240.6211863052,6.053118925624737
Material extraction (kt),4257.168162292301,53925.07396917576,7.8945986513171045
Blue water consumption (Mm3),95.44885539157151,1276.054948805772,7.47999570715193
Land use (km2),4851.82525119848,99442.87815130444,4.879007266680602
Waste generation (kt),259.2750606871883,10586.42431340197,2.4491277981268604
