,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"4,712 (100·0%)","4,259 (100·0%)",96 (100·0%),"4,855 (100·0%)",259 (100·0%),"40,597 (100·0%)"
Health-care services,Top-down,"2,463 (52·3%)","2,274 (53·4%)",44 (45·8%),"2,991 (61·6%)",163 (62·8%),"37,552 (92·5%)"
Pharmaceuticals and chemical products,Top-down,"1,441 (30·6%)","1,829 (42·9%)",50 (51·8%),"1,759 (36·2%)",90 (34·8%),"1,950 (4·8%)"
Medical appliances,Top-down,157 (3·3%),131 (3·1%),2 (2·1%),104 (2·1%),6 (2·4%),"1,094 (2·7%)"
Release of anaesthetic gases,Bottom-up,12 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,12 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,627 (13·3%),26 (0·6%),0 (0·2%),2 (<0·1%),0 (<0·1%),NA
