Index,Unit,HC service,Pharm,MedAppl,ISO2
Expenditure,MEUR,86096.0,5639.0,3107.0,NL
Conversion,na,0.9961465217878347,0.67262391624407,0.8494024341215599,NL
DirectEm,kt CO2e,1699.0,0.0,0.0,NL
