producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,blue_water_consumption,Mm3,0.1084252496002659,100.0
Denmark,Electricity,Scope 2,blue_water_consumption,Mm3,5.290314803168896,99.62840015458997
Europe,Electricity,Scope 2,blue_water_consumption,Mm3,0.015024895200137497,0.28295221115829067
Middle East,Electricity,Scope 2,blue_water_consumption,Mm3,0.003856912457993813,0.0726342442790097
Asia and Pacific,Electricity,Scope 2,blue_water_consumption,Mm3,0.0005976461338540864,0.01125500662811079
America,Electricity,Scope 2,blue_water_consumption,Mm3,0.00020550869813385042,0.00387018609944797
Africa,Electricity,Scope 2,blue_water_consumption,Mm3,2.8385485253782723e-05,0.0005345618528697208
Europe,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,1.6841250909678512e-05,0.000317158231061838
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,1.936555862408067e-06,3.6469656260557384e-05
Middle East,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,3.9851885214953546e-10,7.504996800439784e-09
Asia and Pacific,Food and catering,Scope 3,blue_water_consumption,Mm3,28.315284481139656,42.6459380705571
America,Food and catering,Scope 3,blue_water_consumption,Mm3,11.091595014557722,16.70516411055639
Middle East,Food and catering,Scope 3,blue_water_consumption,Mm3,10.253724391057567,15.443238639006669
Africa,Food and catering,Scope 3,blue_water_consumption,Mm3,4.763570380346722,7.174461820092935
Europe,Food and catering,Scope 3,blue_water_consumption,Mm3,3.335171994760172,5.023136477330354
Denmark,Food and catering,Scope 3,blue_water_consumption,Mm3,1.6788214730074686,2.528490102830722
Asia and Pacific,Chemical,Scope 3,blue_water_consumption,Mm3,1.3902057464964361,2.093803020411448
Asia and Pacific,Metal Products,Scope 3,blue_water_consumption,Mm3,0.6139072567706993,0.924611966047784
Europe,Chemical,Scope 3,blue_water_consumption,Mm3,0.5830908414557078,0.8781990493788709
Denmark,Electricity,Scope 3,blue_water_consumption,Mm3,0.3883391354018277,0.5848815232547319
Africa,Chemical,Scope 3,blue_water_consumption,Mm3,0.2656717969098938,0.400130996588064
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.24551822343531113,0.3697774945114753
Europe,Electricity,Scope 3,blue_water_consumption,Mm3,0.24403576908881577,0.36754475493595806
America,Chemical,Scope 3,blue_water_consumption,Mm3,0.23693920794619444,0.3568565519901697
Europe,Services,Scope 3,blue_water_consumption,Mm3,0.23462287391012224,0.3533678977292932
Asia and Pacific,Electricity,Scope 3,blue_water_consumption,Mm3,0.21326349812190465,0.3211983245188664
Asia and Pacific,Textile,Scope 3,blue_water_consumption,Mm3,0.20312418593914827,0.30592740327094853
Asia and Pacific,Paper Products,Scope 3,blue_water_consumption,Mm3,0.20225434186976185,0.3046173222672135
Europe,Metal Products,Scope 3,blue_water_consumption,Mm3,0.16203752387792078,0.24404636347577668
Europe,Paper Products,Scope 3,blue_water_consumption,Mm3,0.15471168827465293,0.23301284793189653
America,Textile,Scope 3,blue_water_consumption,Mm3,0.15351864771573767,0.23121599740669513
Europe,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.14112179108172676,0.21254496548979007
Africa,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.12841874211597298,0.19341277418648076
Asia and Pacific,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.10207940639646297,0.15374283265147604
Asia and Pacific,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.09997606063081975,0.15057496219188957
Denmark,Private travel,Scope 3,blue_water_consumption,Mm3,0.0864,0.1301279191367613
Middle East,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.08193911977786296,0.12340934204387906
Asia and Pacific,Services,Scope 3,blue_water_consumption,Mm3,0.07951873170531555,0.11976397093989721
Denmark,Chemical,Scope 3,blue_water_consumption,Mm3,0.07043948212178208,0.1060896207590116
Middle East,Services,Scope 3,blue_water_consumption,Mm3,0.05448407494988423,0.08205901966805298
Middle East,Electricity,Scope 3,blue_water_consumption,Mm3,0.05367831952654379,0.0808454632262422
Africa,Services,Scope 3,blue_water_consumption,Mm3,0.05020824693462479,0.0756191515868912
America,Electricity,Scope 3,blue_water_consumption,Mm3,0.04902018403114935,0.07382979795919631
Europe,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.039242607413648586,0.0591036903268395
Denmark,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.038313056028254175,0.0577036835269313
Europe,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.0381311329825073,0.05742968737662966
America,Metal Products,Scope 3,blue_water_consumption,Mm3,0.0368240999930415,0.05546115169188099
Asia and Pacific,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.03621273142638898,0.05454036327285185
Africa,Electricity,Scope 3,blue_water_consumption,Mm3,0.03218783693758472,0.04847842872918152
Europe,Textile,Scope 3,blue_water_consumption,Mm3,0.03190680685581532,0.04805516646349302
Europe,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.03040690376306465,0.045796147153696294
Denmark,Paper Products,Scope 3,blue_water_consumption,Mm3,0.0301447702981704,0.0454013452749602
Denmark,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.023434047239451798,0.03529425699331514
Asia and Pacific,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.022625547900295518,0.03407656791197424
America,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.022560878020281297,0.03397916794765625
Africa,Textile,Scope 3,blue_water_consumption,Mm3,0.019314480988733843,0.029089736345723045
Europe,Transport,Scope 3,blue_water_consumption,Mm3,0.019251841144441336,0.02899539383886153
Europe,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.015710709020692427,0.023662058715576972
Denmark,Metal Products,Scope 3,blue_water_consumption,Mm3,0.015494290480077073,0.023336108549455555
America,Paper Products,Scope 3,blue_water_consumption,Mm3,0.014873782907337636,0.02240155578036776
Middle East,Metal Products,Scope 3,blue_water_consumption,Mm3,0.013448180333672842,0.020254441238388463
Africa,Metal Products,Scope 3,blue_water_consumption,Mm3,0.013212040760353417,0.01989878902424611
Europe,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.012649492264965293,0.01905152901130198
Europe,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.012370267865249661,0.018630986301727832
Asia and Pacific,Transport,Scope 3,blue_water_consumption,Mm3,0.011089286118605874,0.016701686658869848
America,Services,Scope 3,blue_water_consumption,Mm3,0.009976850044443,0.01502623536832028
Middle East,Textile,Scope 3,blue_water_consumption,Mm3,0.009683689420469288,0.014584703169587251
Middle East,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.0096256647567793,0.01449731163319155
