producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Private travel,Outside protocol,blue_water_consumption,Mm3,0.1084252496002659,100.0
Electricity,Scope 2,blue_water_consumption,Mm3,5.3100281511442695,99.99964636460768
"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,1.8778205290938727e-05,0.0003536353923191958
Food and catering,Scope 3,blue_water_consumption,Mm3,59.43816773486931,89.52042922037418
Chemical,Scope 3,blue_water_consumption,Mm3,2.5541845880065526,3.846883397320355
Electricity,Scope 3,blue_water_consumption,Mm3,0.9805247431078259,1.4767782926241761
Metal Products,Scope 3,blue_water_consumption,Mm3,0.854923392215765,1.2876088200275317
Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.47469451224512244,0.7149422350011301
Services,Scope 3,blue_water_consumption,Mm3,0.4288904289036734,0.6459562390151399
Textile,Scope 3,blue_water_consumption,Mm3,0.4210101718981637,0.6340877037559979
Paper Products,Scope 3,blue_water_consumption,Mm3,0.40594856003413177,0.6114032568727569
"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.3149249069036989,0.47431160670968303
General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.12177646361291584,0.18340877094655403
Private travel,Scope 3,blue_water_consumption,Mm3,0.0864,0.1301279191367613
Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.08231414359154784,0.12397416922560993
Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.06524947142364868,0.09827289283718718
Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.06092515301240358,0.0917599928772322
Transport,Scope 3,blue_water_consumption,Mm3,0.04846713910390854,0.0729968513669395
Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.04226646227067815,0.06365794889532152
Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.00979263144549349,0.014748781861982441
Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0033689253590306937,0.005073972762705216
Construction,Scope 3,blue_water_consumption,Mm3,0.001515774442332506,0.002282923310895993
"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0008598342267383932,0.001295005077870756
Private travel,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
Operational impact,Scope 1,climate_change,kt CO2eq,163.5946084095433,100.0
"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,1146.4753838825097,97.19839593172068
Electricity,Scope 2,climate_change,kt CO2eq,33.04550521516478,2.8016040682793135
Transport,Scope 3,climate_change,kt CO2eq,2998.401973125296,46.78012758461866
Food and catering,Scope 3,climate_change,kt CO2eq,500.84571068415033,7.814037762786147
Coal and Petroleum,Scope 3,climate_change,kt CO2eq,445.8072389166315,6.955344780849741
Electricity,Scope 3,climate_change,kt CO2eq,420.70320542740166,6.563679520474181
Services,Scope 3,climate_change,kt CO2eq,404.22119663263743,6.306532386373874
Chemical,Scope 3,climate_change,kt CO2eq,324.61989388136,5.064617815885093
Waste management and disposal,Scope 3,climate_change,kt CO2eq,316.9795532970996,4.945415617338946
Private travel,Scope 3,climate_change,kt CO2eq,309.7669,4.832886061766965
