producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
CAN,Canada,America,Scope 3,blue_water_consumption,Mm3,0.07553997790104014,0.1137143453884799
SVK,Slovakia,Europe,Scope 3,blue_water_consumption,Mm3,0.06567109275799342,0.09885818782875945
KOR,South Korea,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.05829040228610792,0.08774764201121965
CHE,Switzerland,Europe,Scope 3,blue_water_consumption,Mm3,0.051733629522852015,0.07787738333029419
HUN,Hungary,Europe,Scope 3,blue_water_consumption,Mm3,0.04838810172616166,0.07284118244765707
BGR,Bulgaria,Europe,Scope 3,blue_water_consumption,Mm3,0.043428732288740717,0.06537557993113592
FIN,Finland,Europe,Scope 3,blue_water_consumption,Mm3,0.036504572288873244,0.054952273708019
AUT,Austria,Europe,Scope 3,blue_water_consumption,Mm3,0.03512875824980675,0.05288118767945699
JPN,Japan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.028476894187229488,0.04286778300941522
HRV,Croatia,Europe,Scope 3,blue_water_consumption,Mm3,0.02302867947449753,0.03466629570681344
LVA,Latvia,Europe,Scope 3,blue_water_consumption,Mm3,0.013878063681736018,0.020891387192297793
CYP,Cyprus,Middle East,Scope 3,blue_water_consumption,Mm3,0.012990691975981628,0.01955557937980001
TWN,Taiwan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.011824527040300133,0.017800089294143076
LTU,Lithuania,Europe,Scope 3,blue_water_consumption,Mm3,0.010179313309778722,0.015323461585362595
SVN,Slovenia,Europe,Scope 3,blue_water_consumption,Mm3,0.00819627363568874,0.012338286520657927
EST,Estonia,Europe,Scope 3,blue_water_consumption,Mm3,0.004822418408704131,0.007259442850956861
LUX,Luxembourg,Europe,Scope 3,blue_water_consumption,Mm3,0.0020162161422458574,0.003035117366297469
MLT,Malta,Europe,Scope 3,blue_water_consumption,Mm3,0.0008397902302585459,0.0012641808874050045
DNK,Denmark,Denmark,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
DNK,Denmark,Denmark,Scope 1,climate_change,kt CO2eq,152.10093671061043,100.0
DNK,Denmark,Denmark,Scope 2,climate_change,kt CO2eq,1164.5094579328504,98.72732807841092
RoW Middle East,RoW Middle East,Middle East,Scope 2,climate_change,kt CO2eq,4.689173996043675,0.39754904210563513
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,climate_change,kt CO2eq,2.186164665820885,0.18534344631177208
NLD,Netherlands,Europe,Scope 2,climate_change,kt CO2eq,1.1536243668059782,0.09780448803144921
DEU,Germany,Europe,Scope 2,climate_change,kt CO2eq,1.1164044728777571,0.09464897851294513
BEL,Belgium,Europe,Scope 2,climate_change,kt CO2eq,0.9816337018825934,0.08322308752272599
RUS,Russia,Europe,Scope 2,climate_change,kt CO2eq,0.7666899252812084,0.06500011423008549
RoW Europe,RoW Europe,Europe,Scope 2,climate_change,kt CO2eq,0.6594014379684545,0.05590417635357795
HRV,Croatia,Europe,Scope 2,climate_change,kt CO2eq,0.6332997181665383,0.05369126770200809
GRC,Greece,Europe,Scope 2,climate_change,kt CO2eq,0.6012171740669678,0.05097130365591871
ITA,Italy,Europe,Scope 2,climate_change,kt CO2eq,0.2940549169430278,0.024930030460755797
HUN,Hungary,Europe,Scope 2,climate_change,kt CO2eq,0.2919641225716645,0.02475277252571721
RoW Africa,RoW Africa,Africa,Scope 2,climate_change,kt CO2eq,0.2754660204424123,0.02335406036370767
CZE,Czech Republic,Europe,Scope 2,climate_change,kt CO2eq,0.26591246849945044,0.022544108456008075
SVN,Slovenia,Europe,Scope 2,climate_change,kt CO2eq,0.25831405511541844,0.021899913558379367
CAN,Canada,America,Scope 2,climate_change,kt CO2eq,0.20504507259324967,0.01738375932876507
EST,Estonia,Europe,Scope 2,climate_change,kt CO2eq,0.17614208826480376,0.014933358950476178
ESP,Spain,Europe,Scope 2,climate_change,kt CO2eq,0.07992916688267888,0.006776409610161645
AUT,Austria,Europe,Scope 2,climate_change,kt CO2eq,0.06114184373921116,0.0051836168654871605
LUX,Luxembourg,Europe,Scope 2,climate_change,kt CO2eq,0.04542405286055484,0.0038510596361971965
FIN,Finland,Europe,Scope 2,climate_change,kt CO2eq,0.044747443856070476,0.00379369659915917
LVA,Latvia,Europe,Scope 2,climate_change,kt CO2eq,0.043584943379226304,0.0036951395928704997
TUR,Turkey,Middle East,Scope 2,climate_change,kt CO2eq,0.039678182844429644,0.0033639237092937956
GBR,United Kingdom,Europe,Scope 2,climate_change,kt CO2eq,0.03800262302258717,0.003221869436467456
POL,Poland,Europe,Scope 2,climate_change,kt CO2eq,0.03296159639561283,0.0027944902629768796
NOR,Norway,Europe,Scope 2,climate_change,kt CO2eq,0.02658060056669828,0.002253508251730265
RoW America,RoW America,America,Scope 2,climate_change,kt CO2eq,0.02267946088524799,0.0019227689051439885
CHE,Switzerland,Europe,Scope 2,climate_change,kt CO2eq,0.006740192037885612,0.0005714347325414316
BRA,Brazil,America,Scope 2,climate_change,kt CO2eq,0.003974605312644421,0.0003369677764405654
SVK,Slovakia,Europe,Scope 2,climate_change,kt CO2eq,0.003239876731732363,0.000274677350920919
PRT,Portugal,Europe,Scope 2,climate_change,kt CO2eq,0.0025485895139260367,0.00021606989223189516
LTU,Lithuania,Europe,Scope 2,climate_change,kt CO2eq,0.002228188081158119,0.00018890619926728624
ZAF,South Africa,Africa,Scope 2,climate_change,kt CO2eq,0.001878742704246314,0.0001592801553250608
SWE,Sweden,Europe,Scope 2,climate_change,kt CO2eq,0.0009295072465438438,7.8803796959875e-05
AUS,Australia,Asia and Pacific,Scope 2,climate_change,kt CO2eq,0.00040101200484339377,3.3997872233544356e-05
MLT,Malta,Europe,Scope 2,climate_change,kt CO2eq,0.00019061501743920597,1.6160376573324208e-05
MEX,Mexico,America,Scope 2,climate_change,kt CO2eq,4.41965479556151e-05,3.746991542424074e-06
BGR,Bulgaria,Europe,Scope 2,climate_change,kt CO2eq,1.7187900716345093e-05,1.4571934143102563e-06
IRL,Ireland,Europe,Scope 2,climate_change,kt CO2eq,2.802992458924013e-07,2.3763822114827346e-08
USA,United States,America,Scope 2,climate_change,kt CO2eq,3.483897157612515e-08,2.9536544793858405e-09
CYP,Cyprus,Middle East,Scope 2,climate_change,kt CO2eq,1.8810295451552145e-08,1.594740341219552e-09
DNK,Denmark,Denmark,Scope 3,climate_change,kt CO2eq,2819.8852892179975,43.20487214182726
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,climate_change,kt CO2eq,577.5892634115647,8.84953383444516
RoW Middle East,RoW Middle East,Middle East,Scope 3,climate_change,kt CO2eq,501.712295232418,7.686984875016157
CHN,China,Asia and Pacific,Scope 3,climate_change,kt CO2eq,419.53920446664984,6.427969874083856
DEU,Germany,Europe,Scope 3,climate_change,kt CO2eq,250.1060462834634,3.831999760022721
RUS,Russia,Europe,Scope 3,climate_change,kt CO2eq,206.0983000037766,3.1577350803445206
USA,United States,America,Scope 3,climate_change,kt CO2eq,133.47987240136155,2.0451118499956875
