,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),8694.660295397387,79040.33438684596,11.000282783272699
Material extraction (kt),8131.961793064838,78480.24912537608,10.361794061170253
Blue water consumption (Mm3),88.89193385028472,1029.307782207698,8.63608877605355
Land use (km2),5596.461368170701,86986.64719626405,6.43370166405386
Waste generation (kt),380.71235915278544,10976.101331099775,3.4685572560638804
