,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Expenditure (MEUR)
Total,8152.692843832223,6037.372730216989,71.84806612593555,4544.166960533617,332.97457965775965,35271.231705222825
Healthcare services,6157.685199696629,2992.854909451501,46.98082818417635,3019.029369156308,267.6736053927034,32641.297464539715
Pharmaceuticals and chemical products,1098.9220543571637,2926.612611922884,23.89016931797728,1476.744767318473,62.20835124249985,1730.8815071985125
Medical appliances,150.45433891265176,85.03438944933822,0.7488544638688668,46.252817789003,3.0926230225555336,899.0527334845993
Release of anaesthetic gases,12.66996446025,0,0,0,0,NA
Release of pMDI propellants,10.17,0,0,0,0,NA
Private travel,722.7912864055261,32.87081939328065,0.228214159913094,2.1400062698201463,0.0,NA
