producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
NOR,Norway,Europe,Food and catering,land_use,km2,56.29353119077813,2019,EXIOBASE v3.7 IOT_2016_ixi
IDN,Indonesia,Asia and Pacific,Food and catering,land_use,km2,56.014293481986776,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Coal and Petroleum,climate_change,kt CO2eq,55.16050783455822,2019,EXIOBASE v3.7 IOT_2016_ixi
RUS,Russia,Europe,Transport,climate_change,kt CO2eq,54.76634498946567,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Coal and Petroleum,climate_change,kt CO2eq,53.70331319476561,2019,EXIOBASE v3.7 IOT_2016_ixi
CHN,China,Asia and Pacific,Transport,climate_change,kt CO2eq,51.626418570198716,2019,EXIOBASE v3.7 IOT_2016_ixi
RUS,Russia,Europe,Coal and Petroleum,climate_change,kt CO2eq,49.43120493682936,2019,EXIOBASE v3.7 IOT_2016_ixi
IND,India,Asia and Pacific,Food and catering,land_use,km2,48.57009631366562,2019,EXIOBASE v3.7 IOT_2016_ixi
USA,United States,America,Transport,climate_change,kt CO2eq,47.56955795105819,2019,EXIOBASE v3.7 IOT_2016_ixi
CHN,China,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,47.275723934430445,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Chemical,climate_change,kt CO2eq,47.026931706803516,2019,EXIOBASE v3.7 IOT_2016_ixi
JPN,Japan,Asia and Pacific,Transport,climate_change,kt CO2eq,46.31697865202084,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Food and catering,climate_change,kt CO2eq,46.29863140508899,2019,EXIOBASE v3.7 IOT_2016_ixi
RUS,Russia,Europe,Minerals and Metals,material_extraction,kt,45.5258389086181,2019,EXIOBASE v3.7 IOT_2016_ixi
CHE,Switzerland,Europe,Minerals and Metals,material_extraction,kt,43.69503888668505,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Operational impact,waste_generation,kt,42.71652604695465,2019,EXIOBASE v3.7 IOT_2016_ixi
IDN,Indonesia,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,42.52967718187295,2019,EXIOBASE v3.7 IOT_2016_ixi
KOR,South Korea,Asia and Pacific,Transport,climate_change,kt CO2eq,42.49021331909802,2019,EXIOBASE v3.7 IOT_2016_ixi
NLD,Netherlands,Europe,Transport,climate_change,kt CO2eq,39.6930300348668,2019,EXIOBASE v3.7 IOT_2016_ixi
FRA,France,Europe,Transport,climate_change,kt CO2eq,39.488038463379915,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,"Steam, hot water supply and water distribution",waste_generation,kt,38.215227205055555,2019,EXIOBASE v3.7 IOT_2016_ixi
DEU,Germany,Europe,Food and catering,land_use,km2,37.49484781028603,2019,EXIOBASE v3.7 IOT_2016_ixi
CZE,Czech Republic,Europe,Food and catering,land_use,km2,37.102632766968505,2019,EXIOBASE v3.7 IOT_2016_ixi
RUS,Russia,Europe,Natural gas and gaseous fuels,climate_change,kt CO2eq,34.54490772905018,2019,EXIOBASE v3.7 IOT_2016_ixi
CZE,Czech Republic,Europe,Chemical,climate_change,kt CO2eq,33.52885342498434,2019,EXIOBASE v3.7 IOT_2016_ixi
NOR,Norway,Europe,Minerals and Metals,material_extraction,kt,32.101847861223604,2019,EXIOBASE v3.7 IOT_2016_ixi
CHN,China,Asia and Pacific,Metal Products,climate_change,kt CO2eq,31.372400260973137,2019,EXIOBASE v3.7 IOT_2016_ixi
CHN,China,Asia and Pacific,Food and catering,climate_change,kt CO2eq,31.34938732138362,2019,EXIOBASE v3.7 IOT_2016_ixi
BRA,Brazil,America,Food and catering,climate_change,kt CO2eq,29.83718164879399,2019,EXIOBASE v3.7 IOT_2016_ixi
