indicator,unit,producing_sector_group,value
material_extraction,kt,Minerals and Metals,5905.564420238479
land_use,km2,Food and catering,4441.487075597675
climate_change,kt CO2eq,Transport,2998.401973125296
climate_change,kt CO2eq,"Steam, hot water supply and water distribution",1385.2246185935899
climate_change,kt CO2eq,Private travel,722.7912864055261
climate_change,kt CO2eq,Food and catering,500.8457106841504
climate_change,kt CO2eq,Electricity,453.74871064256644
climate_change,kt CO2eq,Coal and Petroleum,445.8072389166315
climate_change,kt CO2eq,Services,405.0407491826733
climate_change,kt CO2eq,Chemical,334.78989388136
climate_change,kt CO2eq,Waste management and disposal,316.9795532970996
climate_change,kt CO2eq,Operational impact,152.10093671061043
climate_change,kt CO2eq,Natural gas and gaseous fuels,115.22333881776893
climate_change,kt CO2eq,Minerals and Metals,89.58863047279435
climate_change,kt CO2eq,Metal Products,87.24804688885467
waste_generation,kt,Waste management and disposal,76.41047329863385
climate_change,kt CO2eq,Non-metallic mineral products,69.0579170787524
blue_water_consumption,Mm3,Food and catering,59.43816773486934
waste_generation,kt,Food and catering,56.06685808956779
waste_generation,kt,Chemical,47.43229352679042
waste_generation,kt,Operational impact,40.2662813032278
waste_generation,kt,"Steam, hot water supply and water distribution",39.435765670488294
material_extraction,kt,Private travel,32.87081939328065
material_extraction,kt,Chemical,31.705312394731145
land_use,km2,Services,29.63748822756217
land_use,km2,Transport,24.860199783330813
material_extraction,kt,Food and catering,19.912271805336992
climate_change,kt CO2eq,"Electrical, electronic and measuring equipment",19.728033959492112
climate_change,kt CO2eq,Paper Products,18.168841024232158
material_extraction,kt,Services,17.234799229486114
climate_change,kt CO2eq,Textile,16.47002569784697
land_use,km2,Textile,13.39411606929497
waste_generation,kt,Electricity,13.393419693511465
waste_generation,kt,Transport,13.143952417312248
waste_generation,kt,Paper Products,12.876881071424794
land_use,km2,Furniture and timber,11.302130042261064
material_extraction,kt,Non-metallic mineral products,11.03540151743114
climate_change,kt CO2eq,Furniture and timber,10.790303843341702
waste_generation,kt,Coal and Petroleum,10.074085412217956
waste_generation,kt,Services,9.677573387336604
land_use,km2,Paper Products,7.928214358535776
blue_water_consumption,Mm3,Electricity,6.290552894252102
material_extraction,kt,Transport,6.210426370949522
land_use,km2,Waste management and disposal,5.742758656994717
waste_generation,kt,Metal Products,5.367162785027051
land_use,km2,Minerals and Metals,4.387356005738309
climate_change,kt CO2eq,Construction,3.9378345362082117
climate_change,kt CO2eq,Transport Equipment,3.763244465699707
material_extraction,kt,Coal and Petroleum,3.71300628975958
waste_generation,kt,Construction,3.372695961989972
climate_change,kt CO2eq,General and special Machinery,2.985955607701184
material_extraction,kt,Construction,2.7109983511501925
blue_water_consumption,Mm3,Chemical,2.5541845880065615
material_extraction,kt,Natural gas and gaseous fuels,2.5385743594849215
land_use,km2,Private travel,2.1400062698201454
material_extraction,kt,Metal Products,2.0381213158051863
land_use,km2,Electricity,1.4150182320418794
waste_generation,kt,Non-metallic mineral products,1.2197130180658595
waste_generation,kt,"Electrical, electronic and measuring equipment",1.206690583798014
waste_generation,kt,Furniture and timber,1.170317364252578
material_extraction,kt,Waste management and disposal,0.8893876253373822
blue_water_consumption,Mm3,Metal Products,0.8549233922157746
waste_generation,kt,Textile,0.5641404055905351
waste_generation,kt,General and special Machinery,0.49874043232785475
blue_water_consumption,Mm3,Minerals and Metals,0.4746945122451261
land_use,km2,Construction,0.4388888325246109
blue_water_consumption,Mm3,Services,0.4288904289036801
waste_generation,kt,Minerals and Metals,0.4231099327436767
blue_water_consumption,Mm3,Textile,0.421010171898167
blue_water_consumption,Mm3,Paper Products,0.4059485600341376
material_extraction,kt,Electricity,0.35733687663099195
blue_water_consumption,Mm3,"Electrical, electronic and measuring equipment",0.3149249069037021
land_use,km2,Chemical,0.3078120407845789
land_use,km2,Non-metallic mineral products,0.27239916478845805
land_use,km2,Metal Products,0.2660028562773149
waste_generation,kt,Transport Equipment,0.24751627357765726
material_extraction,kt,"Electrical, electronic and measuring equipment",0.23575875955331368
blue_water_consumption,Mm3,Private travel,0.228214159913094
land_use,km2,"Steam, hot water supply and water distribution",0.21067231995728256
land_use,km2,Coal and Petroleum,0.1982126024066484
waste_generation,kt,Natural gas and gaseous fuels,0.12690902987477315
land_use,km2,General and special Machinery,0.12370663582348047
blue_water_consumption,Mm3,General and special Machinery,0.12177646361291741
material_extraction,kt,Paper Products,0.09771675850861554
material_extraction,kt,General and special Machinery,0.0850697541700835
blue_water_consumption,Mm3,Non-metallic mineral products,0.08231414359155283
blue_water_consumption,Mm3,Coal and Petroleum,0.06524947142364979
blue_water_consumption,Mm3,Furniture and timber,0.06092515301240462
material_extraction,kt,Furniture and timber,0.060223324492383136
material_extraction,kt,Transport Equipment,0.0581067166495859
blue_water_consumption,Mm3,Transport,0.048467139103910574
blue_water_consumption,Mm3,Waste management and disposal,0.042266462270680503
material_extraction,kt,Textile,0.03249376214420668
land_use,km2,Natural gas and gaseous fuels,0.02594389924391556
land_use,km2,Transport Equipment,0.02435222241301186
material_extraction,kt,"Steam, hot water supply and water distribution",0.022485373632502872
blue_water_consumption,Mm3,Transport Equipment,0.009792631445494093
land_use,km2,"Electrical, electronic and measuring equipment",0.004606716129985499
blue_water_consumption,Mm3,Natural gas and gaseous fuels,0.0033689253590308294
blue_water_consumption,Mm3,Construction,0.0015157744423327315
blue_water_consumption,Mm3,"Steam, hot water supply and water distribution",0.0008786124320293646
