Contribution,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Food and food services,438.16362228419064,191.30637177396588,20.359050727749743,1474.3946286297012,38.90785967364414
Heat and electricity,44.6818295879975,12.101493562817021,5.428122725752403,14.222046963833852,1.2712441881449263
Individual travel,603.2422186512448,22.6849,0.1573,1.4769999999999999,0.0
"Medical, electrical equipment and machinery",296.47581925656,286.8317796218359,2.283616139941001,139.63172782992135,9.452148568432605
Operational impacts,163.3946991455533,0.0,0.0,0.0,42.71652604695465
Other,1799.971788724164,1528.7874321084685,2.376622960361047,293.02126073846046,119.96642576843081
Pharmaceuticals and chemical products,1835.2968817309775,5235.641934177832,41.95852748976222,2569.58594350019,113.21440698678722
Services,1248.1961410802437,605.4898159839763,11.76356420170208,748.886595880801,34.94829432089732
Transport,2247.0595949364306,248.36926583595456,4.560029605016326,355.1933646277632,20.23545359949164
