Component,kt_CO2eq
"Scope 1 direct (DRIVHUS, excl. medical N2O)",150.92464394929328
  + Anaesthetic gases (bottom-up),12.66996446025
Scope 1 (Total),163.5946084095433
Scope 2 (generation of purchased energy),1181.5222891180563
Scope 3 (MRIO supply chain excl. Scope 2),6086.108331598005
"  + pMDI (bottom-up, use phase)",12.5064
  + Commute (bottom-up),309.7669
Scope 3 (Total),6408.381631598005
Outside protocol (patient/visitor travel),293.4753186512448
Grand Total,8046.973847776849
