,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"8,153 (100·0%)","6,037 (100·0%)",72 (100·0%),"4,544 (100·0%)",333 (100·0%),"35,271 (100·0%)"
Health-care services,Top-down,"6,158 (75·5%)","2,993 (49·6%)",47 (65·4%),"3,019 (66·4%)",268 (80·4%),"32,641 (92·5%)"
Pharmaceuticals and chemical products,Top-down,"1,099 (13·5%)","2,927 (48·5%)",24 (33·3%),"1,477 (32·5%)",62 (18·7%),"1,731 (4·9%)"
Medical appliances,Top-down,150 (1·8%),85 (1·4%),1 (1·0%),46 (1·0%),3 (0·9%),899 (2·5%)
Release of anaesthetic gases,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,10 (0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,723 (8·9%),33 (0·5%),0 (0·3%),2 (<0·1%),0 (<0·1%),NA
