indicator,unit,purchased_sector_group,value,expenditure_meur,footprint
material_extraction,kt per MEUR,Minerals and Metals,27.13510318307849,41.475828952134876,1125.450898219894
climate_change,kt CO2eq per MEUR,"Steam, hot water supply and water distribution",17.95757775550564,65.9146914078486,1183.6681961866007
material_extraction,kt per MEUR,Non-metallic mineral products,3.654470223979092,14.970483837028892,54.70918742098235
material_extraction,kt per MEUR,Chemical,2.3041918092081866,1393.427306712939,3210.723786854978
land_use,km2 per MEUR,Food and catering,1.5603546276177973,944.9099599112725,1474.3946286297014
land_use,km2 per MEUR,Paper Products,1.4276859993676971,80.60526280477283,115.07900518172798
climate_change,kt CO2eq per MEUR,Coal and Petroleum,1.2705759084751485,62.36007738075672,79.23321197063552
material_extraction,kt per MEUR,Construction,1.1397432463838981,96.69833451923697,110.2112737048713
land_use,km2 per MEUR,Chemical,1.1129937318272394,1393.427306712939,1550.8758581284133
climate_change,kt CO2eq per MEUR,Transport,0.9849016247401078,2281.5066383197172,2247.059594936431
climate_change,kt CO2eq per MEUR,Non-metallic mineral products,0.9810303051249749,14.970483837028892,14.686498326508959
material_extraction,kt per MEUR,Metal Products,0.9319074840846876,51.88555159823189,48.352533850254524
climate_change,kt CO2eq per MEUR,Natural gas and gaseous fuels,0.8689967940004568,23.73398936615633,20.624760668030785
climate_change,kt CO2eq per MEUR,Chemical,0.8075540904828067,1393.427306712939,1125.2679213264744
climate_change,kt CO2eq per MEUR,Minerals and Metals,0.636228803921646,41.48021436329132,26.390907170770316
climate_change,kt CO2eq per MEUR,Textile,0.6155352229708199,8.191311812487617,5.042040942923077
climate_change,kt CO2eq per MEUR,Waste management and disposal,0.5607193433131856,640.9970563334704,359.4194484929886
waste_generation,kt per MEUR,"Steam, hot water supply and water distribution",0.5278677570165616,65.9146914078486,34.79424030789986
material_extraction,kt per MEUR,Paper Products,0.5164489499807997,80.60526280477283,41.628503338451345
land_use,km2 per MEUR,Furniture and timber,0.5158832752072654,41.44000637611575,21.378206213920553
material_extraction,kt per MEUR,Transport Equipment,0.5127179522024566,9.699927597102485,4.973327014098482
land_use,km2 per MEUR,Textile,0.5120665115931836,8.191311812487617,4.1944964651925725
material_extraction,kt per MEUR,General and special Machinery,0.5119638510251155,49.817757785216756,25.504891125156
material_extraction,kt per MEUR,Textile,0.47789503155700075,8.191311812487617,3.914587217122003
climate_change,kt CO2eq per MEUR,Food and catering,0.46370939123695415,944.9099599112725,438.1636222841909
climate_change,kt CO2eq per MEUR,Metal Products,0.4609181127287699,51.889026261087075,23.916592055593835
climate_change,kt CO2eq per MEUR,Electricity,0.44000734000614306,101.54791869466023,44.681829587997534
climate_change,kt CO2eq per MEUR,General and special Machinery,0.39159745647365946,49.817757785216756,19.50850723591173
land_use,km2 per MEUR,Construction,0.3808290782606703,96.69833451923697,36.82553760430297
climate_change,kt CO2eq per MEUR,Transport Equipment,0.36826465679857934,9.699927597102485,3.5721405075180153
climate_change,kt CO2eq per MEUR,Construction,0.3340247806014573,96.69833451923697,32.29963997231445
material_extraction,kt per MEUR,Coal and Petroleum,0.30803449947970346,62.3565378327713,19.2079649206049
climate_change,kt CO2eq per MEUR,Furniture and timber,0.2870061545843574,41.44000637611575,11.893536875960233
material_extraction,kt per MEUR,Natural gas and gaseous fuels,0.26157901554116136,23.732210525701674,6.207848265928631
land_use,km2 per MEUR,Transport Equipment,0.25941141958606523,9.699927597102485,2.516271987846406
climate_change,kt CO2eq per MEUR,Paper Products,0.24460323845306886,80.60526280477283,19.71630831840813
material_extraction,kt per MEUR,Food and catering,0.20245989553536897,944.9099599112725,191.3063717739659
climate_change,kt CO2eq per MEUR,"Electrical, electronic and measuring equipment",0.19872563302160806,1050.1495440156343,208.69163290185998
material_extraction,kt per MEUR,"Electrical, electronic and measuring equipment",0.1931958603556017,1050.1495440156343,202.8845446581433
climate_change,kt CO2eq per MEUR,Services,0.18404275076250964,7627.544280548226,1403.794230954943
land_use,km2 per MEUR,Non-metallic mineral products,0.18292541962758022,14.970483837028892,2.7384820379164174
material_extraction,kt per MEUR,Furniture and timber,0.18075999736005627,41.44000637611575,7.4906954431473975
land_use,km2 per MEUR,General and special Machinery,0.16826097416489025,49.817757785216756,8.382384455651117
land_use,km2 per MEUR,Transport,0.15568368667529098,2281.5066383197172,355.1933646277633
land_use,km2 per MEUR,Coal and Petroleum,0.15310575788640357,62.3565378327713,9.547144984058647
land_use,km2 per MEUR,Metal Products,0.1475134320421957,51.88555159823189,7.653815789657618
land_use,km2 per MEUR,Minerals and Metals,0.14719039750145055,41.475828952134876,6.1048437501669035
land_use,km2 per MEUR,Electricity,0.1400543394056403,101.54663557151521,14.222046963833858
material_extraction,kt per MEUR,Electricity,0.11917178244959606,101.54663557151521,12.101493562817023
material_extraction,kt per MEUR,Waste management and disposal,0.11677668111209542,640.9959911391062,74.85338445138295
