indicator,unit,producing_world_region,value,share_pct
blue_water_consumption,Mm3,Asia and Pacific,38.26897182965677,43.05358867221503
blue_water_consumption,Mm3,America,17.957617702119027,20.20278698683957
blue_water_consumption,Mm3,Middle East,13.181201128042588,14.829194107919468
blue_water_consumption,Mm3,Denmark,7.599867419062431,8.55004851659264
blue_water_consumption,Mm3,Europe,6.012185949045586,6.763865567730905
blue_water_consumption,Mm3,Africa,5.709689822358296,6.4235495573791415
blue_water_consumption,Mm3,Unallocated,0.1573,0.17696659132323925
climate_change,kt CO2eq,Denmark,3994.001107782716,46.03249143727235
climate_change,kt CO2eq,Asia and Pacific,1717.2336757153987,19.791818364579495
climate_change,kt CO2eq,Europe,1475.177042341326,17.0020169593133
climate_change,kt CO2eq,Middle East,590.0544350174923,6.800617975428202
climate_change,kt CO2eq,America,468.7865002576755,5.402955576795072
climate_change,kt CO2eq,Unallocated,245.5214056733666,2.8297343188772026
climate_change,kt CO2eq,Africa,185.70842860938626,2.1403653677343804
land_use,km2,Asia and Pacific,1620.1087329619563,28.949058226626217
land_use,km2,America,1477.9563974473676,26.408996467722428
land_use,km2,Europe,1161.7625003766539,20.759057453771756
land_use,km2,Africa,842.2779542552562,15.050319182071584
land_use,km2,Denmark,397.36608747297845,7.100371579696944
land_use,km2,Middle East,95.46389565646275,1.7058051831169314
land_use,km2,Unallocated,1.4769999999999999,0.026391906994140596
material_extraction,kt,Asia and Pacific,4357.221454223154,53.58636476426638
material_extraction,kt,Denmark,1621.5779548255186,19.942632866812975
material_extraction,kt,Europe,890.7401816841398,10.95457937756465
material_extraction,kt,America,572.4583861358676,7.040258158581258
material_extraction,kt,Middle East,522.1995504096245,6.422160517194799
material_extraction,kt,Africa,144.33056578654902,1.7750188798356306
material_extraction,kt,Unallocated,22.6849,0.2789854357443108
waste_generation,kt,Denmark,177.22227156545188,46.55017556031877
waste_generation,kt,Europe,66.36346515629863,17.431392378219694
waste_generation,kt,Asia and Pacific,64.09963490135232,16.836762285310677
waste_generation,kt,America,37.710198027105235,9.90516780464482
waste_generation,kt,Africa,29.925912740014784,7.860504662000021
waste_generation,kt,Middle East,5.390876762560308,1.4159973095060208
