indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,36.09686481704812,51.990518864049996
blue_water_consumption,Mm3,imported,33.332841994376125,48.00948113595002
climate_change,kt CO2eq,domestic,4940.556173976935,82.09569473159635
climate_change,kt CO2eq,imported,1077.4892182078668,17.904305268403657
land_use,km2,domestic,3034.599527414997,59.51573508177504
land_use,km2,imported,2064.2193366138786,40.484264918224966
material_extraction,kt,domestic,4441.245944659125,82.38003050727497
material_extraction,kt,imported,949.9221786240038,17.619969492725026
waste_generation,kt,domestic,272.00549705764445,79.39936970866216
waste_generation,kt,imported,70.573415162574,20.60063029133784
