,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),5738.546062961771,91012.90784220409,6.305200217216573
Material extraction (kt),5381.0009755801675,78985.14159268685,6.8126749754138425
Blue water consumption (Mm3),69.36080352469772,1227.7185008331553,5.649568975105289
Land use (km2),5098.1559698941555,96078.1378526596,5.3062601793057445
Waste generation (kt),335.85843826717405,11676.33247619017,2.876403519273204
