,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"6,018 (100·0%)","5,391 (100·0%)",69 (100·0%),"5,099 (100·0%)",343 (100·0%),"43,362 (100·0%)"
Health-care services,Top-down,"4,366 (72·5%)","4,352 (80·7%)",56 (80·7%),"4,413 (86·6%)",284 (82·8%),"40,732 (93·9%)"
Pharmaceuticals and chemical products,Top-down,592 (9·8%),846 (15·7%),11 (16·4%),567 (11·1%),52 (15·1%),"1,731 (4·0%)"
Medical appliances,Top-down,188 (3·1%),155 (2·9%),2 (2·5%),116 (2·3%),7 (2·1%),899 (2·1%)
Release of anaesthetic gases,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,10 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,850 (14·1%),38 (0·7%),0 (0·4%),2 (<0·1%),0 (<0·1%),NA
