Region,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Unallocated,5.745159618288775,0.7069642114617777,0.37984970474246593,0.04867464816823456,0.0
Middle East,5.388333308453454,4.285777058578497,17.85771055604508,2.464655212414225,1.2493840878688076
Europe,25.03943483049074,22.039946274077124,10.691390734755105,31.08677666557605,28.24524849060368
Asia and Pacific,19.852163859954647,16.06047588227447,49.58376318127147,27.286164706988565,12.378733288204364
America,4.453787032172188,4.748479615685613,7.230114921932108,15.134953999562935,3.1996781905008858
Africa,2.6547514288479532,1.5174743276993636,4.742536985718012,15.076873282943694,4.556197481567658
Denmark,36.866369921792234,50.64088263022316,9.514633915535756,8.9019014843463,50.37075846125461
