Hotspot,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Agricultural sector,596.9488781076744,50.020971059279226,62.9548652256234,5332.868462327973,55.90257724483242
Electricity sector,529.3058526956245,10.80391639146779,5.931610934139668,2.0106809523059836,31.726747556600593
Fossil fuel industry,622.0835921551957,14.270090727908094,0.047768452061071935,1.4990263789756453,16.124653747419888
Mining of minerals and metals,122.18212648244317,4978.753463640988,0.03386108398825171,0.7818094558212324,0.489273698650287
Operational impacts,163.3946991455533,0.0,0.0,0.0,42.71652604695465
Other,2379.987602889906,770.9336284937317,5.1364514234007705,96.240191235346,148.79783708734755
Pharmaceutical and chemical industry,298.731024119421,43.235263787536866,2.697952656544321,0.6966735847670595,68.71150167583578
Transport,1185.2066108857691,23.356389256028933,0.050114026087478655,5.07874126896469,5.1392577882389086
