Source	Global warming (ktCO2eq)	Material extraction (kt)	Blue water consumption (Mm3)	Land use (km2)	Waste generation (kt)	ISO2
Anaesthetic	13.42005519626	0.0	0.0	0.0	0	DK
pMDI	12.8	0.0	0.0	0.0	0	DK
Commute (total)	327.9446	13.5083	0.0915	0.8807	0	DK
Commute (direct)	194.7834	0.0	0.0	0.0	0	DK
Commute (indirect)	133.1612	13.5083	0.0915	0.8807	0	DK
Visitor travel (total)	293.4753186512448	9.9254	0.0709	0.6451	0	DK
Visitor travel (direct)	173.73411297787823	0.0	0.0	0.0	0	DK
Visitor travel (indirect)	119.74120567336655	9.9254	0.0709	0.6451	0	DK
