producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
RoW America,RoW America,America,Scope 3,climate_change,kt CO2eq,58.62190312101986,1.3814358129722344
EST,Estonia,Europe,Scope 3,climate_change,kt CO2eq,51.05742770342521,1.2031775734428802
ZAF,South Africa,Africa,Scope 3,climate_change,kt CO2eq,47.9817928077117,1.130699677530929
SWE,Sweden,Europe,Scope 3,climate_change,kt CO2eq,40.53749673961564,0.9552734862384656
FRA,France,Europe,Scope 3,climate_change,kt CO2eq,39.973757821354226,0.9419888760605114
AUS,Australia,Asia and Pacific,Scope 3,climate_change,kt CO2eq,39.84589890456136,0.9389758574230771
TUR,Turkey,Middle East,Scope 3,climate_change,kt CO2eq,38.68717833969304,0.9116703964892686
CAN,Canada,America,Scope 3,climate_change,kt CO2eq,31.01057020156449,0.7307697289986157
ESP,Spain,Europe,Scope 3,climate_change,kt CO2eq,29.42120826875598,0.693316125876523
JPN,Japan,Asia and Pacific,Scope 3,climate_change,kt CO2eq,27.7765104674948,0.6545585229462932
BEL,Belgium,Europe,Scope 3,climate_change,kt CO2eq,26.30889817102611,0.6199739721562096
ITA,Italy,Europe,Scope 3,climate_change,kt CO2eq,26.15011636559811,0.6162322500218428
TWN,Taiwan,Asia and Pacific,Scope 3,climate_change,kt CO2eq,24.321550422294493,0.5731417608706092
BRA,Brazil,America,Scope 3,climate_change,kt CO2eq,22.7189387176442,0.5353759244643435
CZE,Czech Republic,Europe,Scope 3,climate_change,kt CO2eq,19.483066219637916,0.4591220003000329
IDN,Indonesia,Asia and Pacific,Scope 3,climate_change,kt CO2eq,19.320432649089568,0.4552895106197981
HUN,Hungary,Europe,Scope 3,climate_change,kt CO2eq,18.258506667497723,0.4302650316521295
GRC,Greece,Europe,Scope 3,climate_change,kt CO2eq,18.03444742429431,0.42498503481972255
KOR,South Korea,Asia and Pacific,Scope 3,climate_change,kt CO2eq,17.42396701927972,0.41059895300207927
BGR,Bulgaria,Europe,Scope 3,climate_change,kt CO2eq,16.839405045595413,0.3968236437344469
IRL,Ireland,Europe,Scope 3,climate_change,kt CO2eq,15.24012376717246,0.35913628942818066
FIN,Finland,Europe,Scope 3,climate_change,kt CO2eq,14.62313918793129,0.3445969355614902
MEX,Mexico,America,Scope 3,climate_change,kt CO2eq,11.032114141572663,0.259973776977249
CHE,Switzerland,Europe,Scope 3,climate_change,kt CO2eq,10.799403406172082,0.2544899061571255
AUT,Austria,Europe,Scope 3,climate_change,kt CO2eq,8.55119036368841,0.20151035676128562
PRT,Portugal,Europe,Scope 3,climate_change,kt CO2eq,7.950160735007204,0.1873469842074541
ROU,Romania,Europe,Scope 3,climate_change,kt CO2eq,6.98400113808185,0.16457925751860616
LTU,Lithuania,Europe,Scope 3,climate_change,kt CO2eq,5.984098169638047,0.14101636214050942
HRV,Croatia,Europe,Scope 3,climate_change,kt CO2eq,5.8144343341964015,0.1370182029889469
LVA,Latvia,Europe,Scope 3,climate_change,kt CO2eq,5.482652716317094,0.1291997087978226
SVN,Slovenia,Europe,Scope 3,climate_change,kt CO2eq,5.254814612518829,0.12383066242795557
SVK,Slovakia,Europe,Scope 3,climate_change,kt CO2eq,4.736236871155817,0.11161028360043423
LUX,Luxembourg,Europe,Scope 3,climate_change,kt CO2eq,2.7077198605156414,0.06380791116744308
CYP,Cyprus,Middle East,Scope 3,climate_change,kt CO2eq,0.9495680882769925,0.022376744768817673
MLT,Malta,Europe,Scope 3,climate_change,kt CO2eq,0.48704756847316877,0.011477364566634639
