producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Asia and Pacific,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,20.16187622445036,0.4751182815690988
Asia and Pacific,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,19.27189919622711,0.4541458109727056
Denmark,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,19.176824719926046,0.45190536364040507
Middle East,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,17.90923455217241,0.4220343707063925
Denmark,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,15.118692082620422,0.3562747296879002
America,Waste management and disposal,Scope 3,climate_change,kt CO2eq,15.101287707738654,0.3558645924271833
Denmark,Electricity,Scope 3,climate_change,kt CO2eq,14.850182607823339,0.34994725506051894
Asia and Pacific,Services,Scope 3,climate_change,kt CO2eq,13.825626635937827,0.32580340717084305
Europe,Paper Products,Scope 3,climate_change,kt CO2eq,13.583606643785874,0.3201001620216066
Denmark,Operational impact,Scope 3,climate_change,kt CO2eq,11.6,0.2733561105547256
Africa,Waste management and disposal,Scope 3,climate_change,kt CO2eq,11.254376774466186,0.26521143636082023
Europe,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,11.202786178224676,0.26399569457377037
Asia and Pacific,Minerals and Metals,Scope 3,climate_change,kt CO2eq,10.059287711667801,0.23704894515624622
Middle East,Minerals and Metals,Scope 3,climate_change,kt CO2eq,9.438961591533639,0.22243084727043777
Middle East,Waste management and disposal,Scope 3,climate_change,kt CO2eq,8.690485202361504,0.20479286497852917
America,Minerals and Metals,Scope 3,climate_change,kt CO2eq,6.316300807631388,0.1488447777472231
Asia and Pacific,Furniture and timber,Scope 3,climate_change,kt CO2eq,5.807917014114456,0.13686462115542614
Asia and Pacific,Textile,Scope 3,climate_change,kt CO2eq,5.560674393535744,0.13103830381708523
Denmark,Metal Products,Scope 3,climate_change,kt CO2eq,5.172521933257213,0.12189142046846567
Africa,Transport,Scope 3,climate_change,kt CO2eq,4.9208947007320445,0.11596177895185104
Middle East,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,4.648443628693466,0.10954141986832248
America,Services,Scope 3,climate_change,kt CO2eq,4.628922162144484,0.10908139295727473
America,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,4.528948629202796,0.10672549846388212
Middle East,Textile,Scope 3,climate_change,kt CO2eq,4.436318681290611,0.10454265688783367
