producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Non-metallic mineral products,Scope 3,material_extraction,kt,130.36823732011888,4.18176262218499
Food and catering,Scope 3,material_extraction,kt,35.538410509327875,1.1399494215362764
Chemical,Scope 3,material_extraction,kt,34.63234277280916,1.1108858990738384
Services,Scope 3,material_extraction,kt,26.10914452759846,0.8374911475917273
Transport,Scope 3,material_extraction,kt,20.95826533339547,0.6722687396763882
Private travel,Scope 3,material_extraction,kt,13.5083,0.4332995919132826
Electricity,Scope 3,material_extraction,kt,6.178284513138749,0.1981780207921925
Coal and Petroleum,Scope 3,material_extraction,kt,5.378542599457612,0.17252506336350168
Construction,Scope 3,material_extraction,kt,4.561676091602657,0.1463228081203415
Metal Products,Scope 3,material_extraction,kt,4.525974166399249,0.14517761371237342
Natural gas and gaseous fuels,Scope 3,material_extraction,kt,4.1899821539429105,0.13440015082781698
"Electrical, electronic and measuring equipment",Scope 3,material_extraction,kt,2.259299404143925,0.0724705188532595
"Steam, hot water supply and water distribution",Scope 3,material_extraction,kt,2.095909915055708,0.06722954856500382
Waste management and disposal,Scope 3,material_extraction,kt,2.001019989587814,0.06418580760708015
General and special Machinery,Scope 3,material_extraction,kt,0.4375433522659575,0.014034878998927256
Paper Products,Scope 3,material_extraction,kt,0.3647653909200376,0.011700413451710526
Furniture and timber,Scope 3,material_extraction,kt,0.33007708496988003,0.010587732447263899
Transport Equipment,Scope 3,material_extraction,kt,0.2516126378476783,0.008070864083535573
Textile,Scope 3,material_extraction,kt,0.11484409934731336,0.0036838019129601333
Operational impact,Scope 1,waste_generation,kt,42.71652604695465,100.0
Electricity,Scope 2,waste_generation,kt,8.38331033167579,97.48108541166174
"Steam, hot water supply and water distribution",Scope 2,waste_generation,kt,0.21662502632022268,2.5189145883382706
Chemical,Scope 3,waste_generation,kt,63.399146179513906,28.661535139914363
Food and catering,Scope 3,waste_generation,kt,44.04872803596199,19.913583108777058
Waste management and disposal,Scope 3,waste_generation,kt,41.53987917694201,18.7793807722041
Paper Products,Scope 3,waste_generation,kt,14.330569884338983,6.478575139671218
Electricity,Scope 3,waste_generation,kt,13.244210938026228,5.98745314528126
Coal and Petroleum,Scope 3,waste_generation,kt,11.781601718463369,5.326235635762033
Transport,Scope 3,waste_generation,kt,7.204203820651273,3.256882046582239
"Steam, hot water supply and water distribution",Scope 3,waste_generation,kt,6.442470508517185,2.912517060480435
Services,Scope 3,waste_generation,kt,6.2069036528938115,2.8060218138231523
Metal Products,Scope 3,waste_generation,kt,4.871903473003525,2.2024938978576
Construction,Scope 3,waste_generation,kt,2.96310234120612,1.3395616028514294
"Electrical, electronic and measuring equipment",Scope 3,waste_generation,kt,1.4906790170055226,0.6739073253015276
Furniture and timber,Scope 3,waste_generation,kt,0.986283097579396,0.44587962713462814
Non-metallic mineral products,Scope 3,waste_generation,kt,0.979231883239608,0.44269190869112324
Textile,Scope 3,waste_generation,kt,0.4810662575197333,0.21748080653149648
General and special Machinery,Scope 3,waste_generation,kt,0.4406004531969037,0.1991869943517601
Transport Equipment,Scope 3,waste_generation,kt,0.29348672691969574,0.13267970696150164
Minerals and Metals,Scope 3,waste_generation,kt,0.2667957577707806,0.12061323294284682
Natural gas and gaseous fuels,Scope 3,waste_generation,kt,0.22854551794987019,0.10332103488022647
