producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
RoW Africa,RoW Africa,Africa,Food and catering,climate_change,kt CO2eq,41.58814992061816,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Services,climate_change,kt CO2eq,41.18501751435448,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DEU,Germany,Europe,Food and catering,land_use,km2,39.33426432801848,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Coal and Petroleum,climate_change,kt CO2eq,39.04102344939905,2019,EXIOBASE v3.8.2 IOT_2016_ixi
LVA,Latvia,Europe,Food and catering,land_use,km2,38.967999372028984,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Transport,climate_change,kt CO2eq,38.355677067523956,2019,EXIOBASE v3.8.2 IOT_2016_ixi
POL,Poland,Europe,Food and catering,land_use,km2,37.9042070447803,2019,EXIOBASE v3.8.2 IOT_2016_ixi
SWE,Sweden,Europe,Minerals and Metals,material_extraction,kt,35.395866726407746,2019,EXIOBASE v3.8.2 IOT_2016_ixi
NLD,Netherlands,Europe,Transport,climate_change,kt CO2eq,35.121365226940824,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Electricity,climate_change,kt CO2eq,34.090175355010935,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Waste management and disposal,waste_generation,kt,33.78141533163905,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Electricity,climate_change,kt CO2eq,33.353686530864984,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Chemical,waste_generation,kt,32.1404165304453,2019,EXIOBASE v3.8.2 IOT_2016_ixi
POL,Poland,Europe,Minerals and Metals,material_extraction,kt,31.309037824951048,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Minerals and Metals,material_extraction,kt,31.0858200096276,2019,EXIOBASE v3.8.2 IOT_2016_ixi
GBR,United Kingdom,Europe,Food and catering,material_extraction,kt,29.482613680798575,2019,EXIOBASE v3.8.2 IOT_2016_ixi
NOR,Norway,Europe,Transport,climate_change,kt CO2eq,29.420937045384296,2019,EXIOBASE v3.8.2 IOT_2016_ixi
NOR,Norway,Europe,Coal and Petroleum,climate_change,kt CO2eq,29.003324308219057,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Coal and Petroleum,climate_change,kt CO2eq,28.546057566835458,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Food and catering,climate_change,kt CO2eq,28.385671609268936,2019,EXIOBASE v3.8.2 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Minerals and Metals,material_extraction,kt,28.22707365894214,2019,EXIOBASE v3.8.2 IOT_2016_ixi
FIN,Finland,Europe,Food and catering,land_use,km2,28.022173425312573,2019,EXIOBASE v3.8.2 IOT_2016_ixi
GLO,Unallocated,Unallocated,Private travel,material_extraction,kt,27.9464815083494,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Transport,climate_change,kt CO2eq,27.689149063558236,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Minerals and Metals,climate_change,kt CO2eq,27.58631934381033,2019,EXIOBASE v3.8.2 IOT_2016_ixi
BEL,Belgium,Europe,Transport,climate_change,kt CO2eq,26.705110907486613,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Metal Products,climate_change,kt CO2eq,26.59328813766169,2019,EXIOBASE v3.8.2 IOT_2016_ixi
FIN,Finland,Europe,Minerals and Metals,material_extraction,kt,26.166998082188393,2019,EXIOBASE v3.8.2 IOT_2016_ixi
FRA,France,Europe,Food and catering,land_use,km2,26.11652032022895,2019,EXIOBASE v3.8.2 IOT_2016_ixi
USA,United States,America,Minerals and Metals,material_extraction,kt,25.387299430081157,2019,EXIOBASE v3.8.2 IOT_2016_ixi
USA,United States,America,Transport,climate_change,kt CO2eq,24.414727470552823,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ESP,Spain,Europe,Food and catering,land_use,km2,24.27233644986663,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Coal and Petroleum,climate_change,kt CO2eq,23.346208940123987,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Minerals and Metals,material_extraction,kt,23.086340723427323,2019,EXIOBASE v3.8.2 IOT_2016_ixi
TUR,Turkey,Middle East,Minerals and Metals,material_extraction,kt,22.731685388877093,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,22.683388417501213,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ITA,Italy,Europe,Transport,climate_change,kt CO2eq,21.870699827665003,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,21.34761604839314,2019,EXIOBASE v3.8.2 IOT_2016_ixi
NOR,Norway,Europe,Minerals and Metals,material_extraction,kt,20.34292621772773,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CAN,Canada,America,Transport,climate_change,kt CO2eq,20.115548924184914,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Food and catering,climate_change,kt CO2eq,19.797560047896148,2019,EXIOBASE v3.8.2 IOT_2016_ixi
GRC,Greece,Europe,Food and catering,land_use,km2,19.2377905216309,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Natural gas and gaseous fuels,climate_change,kt CO2eq,18.938859186740117,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,18.920128240403784,2019,EXIOBASE v3.8.2 IOT_2016_ixi
TWN,Taiwan,Asia and Pacific,Transport,climate_change,kt CO2eq,18.759264316756166,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DEU,Germany,Europe,Electricity,climate_change,kt CO2eq,18.347351965629063,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Electricity,climate_change,kt CO2eq,17.713626903569043,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IRL,Ireland,Europe,Food and catering,land_use,km2,17.65247393276194,2019,EXIOBASE v3.8.2 IOT_2016_ixi
TUR,Turkey,Middle East,Food and catering,land_use,km2,17.19334631624509,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Non-metallic mineral products,climate_change,kt CO2eq,17.054729691972838,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Chemical,climate_change,kt CO2eq,16.948651874531365,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Waste management and disposal,climate_change,kt CO2eq,16.92251993220673,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,16.774211117104834,2019,EXIOBASE v3.8.2 IOT_2016_ixi
GRC,Greece,Europe,Minerals and Metals,material_extraction,kt,16.66968261530092,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ITA,Italy,Europe,Food and catering,land_use,km2,16.253894179902247,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DEU,Germany,Europe,Food and catering,climate_change,kt CO2eq,16.248296403264337,2019,EXIOBASE v3.8.2 IOT_2016_ixi
GBR,United Kingdom,Europe,Food and catering,land_use,km2,16.22806340596772,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW America,RoW America,America,Food and catering,climate_change,kt CO2eq,16.12794499998777,2019,EXIOBASE v3.8.2 IOT_2016_ixi
FRA,France,Europe,Minerals and Metals,material_extraction,kt,15.919429965243754,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Services,climate_change,kt CO2eq,15.305834797108362,2019,EXIOBASE v3.8.2 IOT_2016_ixi
EST,Estonia,Europe,Food and catering,land_use,km2,14.89095272737983,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Electricity,climate_change,kt CO2eq,14.55906121689384,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Electricity,climate_change,kt CO2eq,13.988979222929382,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW America,RoW America,America,Transport,climate_change,kt CO2eq,13.920761536843449,2019,EXIOBASE v3.8.2 IOT_2016_ixi
LTU,Lithuania,Europe,Food and catering,land_use,km2,13.654764013051686,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW America,RoW America,America,Coal and Petroleum,climate_change,kt CO2eq,13.556136684288544,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IDN,Indonesia,Asia and Pacific,Food and catering,land_use,km2,13.345822412350932,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Food and catering,climate_change,kt CO2eq,13.234308179772057,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ZAF,South Africa,Africa,Electricity,climate_change,kt CO2eq,13.012053123401051,2019,EXIOBASE v3.8.2 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Transport,climate_change,kt CO2eq,13.010568610062434,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Natural gas and gaseous fuels,climate_change,kt CO2eq,12.498699634255836,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ESP,Spain,Europe,Transport,climate_change,kt CO2eq,12.434797097740732,2019,EXIOBASE v3.8.2 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Food and catering,climate_change,kt CO2eq,12.414067851739418,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ITA,Italy,Europe,Minerals and Metals,material_extraction,kt,12.110906676466932,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ROU,Romania,Europe,Food and catering,land_use,km2,12.07786628065681,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Minerals and Metals,material_extraction,kt,11.407844808034804,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Electricity,waste_generation,kt,11.312257834709312,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Chemical,climate_change,kt CO2eq,10.957002971458893,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Food and catering,blue_water_consumption,Mm3,10.909217670609518,2019,EXIOBASE v3.8.2 IOT_2016_ixi
BGR,Bulgaria,Europe,Minerals and Metals,material_extraction,kt,10.869188431059403,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Waste management and disposal,climate_change,kt CO2eq,10.834496797468397,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Food and catering,climate_change,kt CO2eq,10.679303648255578,2019,EXIOBASE v3.8.2 IOT_2016_ixi
USA,United States,America,Electricity,climate_change,kt CO2eq,10.52049060711016,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Natural gas and gaseous fuels,climate_change,kt CO2eq,10.519791923351757,2019,EXIOBASE v3.8.2 IOT_2016_ixi
NLD,Netherlands,Europe,Coal and Petroleum,climate_change,kt CO2eq,10.487232216937093,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Chemical,climate_change,kt CO2eq,10.121249550206857,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ROU,Romania,Europe,Minerals and Metals,material_extraction,kt,9.947250189737984,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ZAF,South Africa,Africa,Minerals and Metals,material_extraction,kt,9.928090605389688,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CHE,Switzerland,Europe,Transport,climate_change,kt CO2eq,9.722433491185779,2019,EXIOBASE v3.8.2 IOT_2016_ixi
AUT,Austria,Europe,Minerals and Metals,material_extraction,kt,9.616777853473007,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IRL,Ireland,Europe,Transport,climate_change,kt CO2eq,9.615665538629843,2019,EXIOBASE v3.8.2 IOT_2016_ixi
BRA,Brazil,America,Minerals and Metals,material_extraction,kt,9.611297858064301,2019,EXIOBASE v3.8.2 IOT_2016_ixi
TUR,Turkey,Middle East,Transport,climate_change,kt CO2eq,9.580788560270825,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Chemical,material_extraction,kt,9.529255797323687,2019,EXIOBASE v3.8.2 IOT_2016_ixi
POL,Poland,Europe,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,9.43755616669531,2019,EXIOBASE v3.8.2 IOT_2016_ixi
HUN,Hungary,Europe,Food and catering,land_use,km2,9.351004867554218,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CHE,Switzerland,Europe,Minerals and Metals,material_extraction,kt,9.291279115342205,2019,EXIOBASE v3.8.2 IOT_2016_ixi
SWE,Sweden,Europe,Transport,climate_change,kt CO2eq,9.229765179386602,2019,EXIOBASE v3.8.2 IOT_2016_ixi
