,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),6309.856787729647,86614.13373867093,7.285019794537831
Material extraction (kt),2657.177190579537,47233.92252096916,5.625569609214443
Blue water consumption (Mm3),50.26888653293835,1070.4416604167586,4.69608838966217
Land use (km2),3201.998287933262,76743.82483988514,4.172320437004237
Waste generation (kt),240.4096277439291,10780.55291525261,2.230030589653627
