,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Expenditure (MEUR)
Total,6204.137791674299,2652.252852694606,50.23549762262552,3201.677219671501,242.85987248765593,35271.231705222825
Healthcare services,4818.916523706417,1840.176537998628,38.07090316673552,2647.618898275895,190.39280535452218,32641.297464539715
Pharmaceuticals and chemical products,582.4960355639228,697.7273185252697,10.596091173029077,476.17196630574557,47.51142671749236,1730.8815071985125
Medical appliances,174.30664929246754,86.40251466237036,1.373678033260596,76.06741708179776,4.955640415641675,899.0527334845993
Release of anaesthetic gases,12.66996446025,0,0,0,0,NA
Release of pMDI propellants,12.5064,0,0,0,0,NA
Private travel,603.2422186512448,27.9464815083494,0.1948252496002659,1.8189380080591757,0.0,NA
