,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"6,204 (100·0%)","2,652 (100·0%)",50 (100·0%),"3,202 (100·0%)",243 (100·0%),"35,271 (100·0%)"
Health-care services,Top-down,"4,819 (77·7%)","1,840 (69·4%)",38 (75·8%),"2,648 (82·7%)",190 (78·4%),"32,641 (92·5%)"
Pharmaceuticals and chemical products,Top-down,582 (9·4%),698 (26·3%),11 (21·1%),476 (14·9%),48 (19·6%),"1,731 (4·9%)"
Medical appliances,Top-down,174 (2·8%),86 (3·3%),1 (2·7%),76 (2·4%),5 (2·0%),899 (2·5%)
Release of anaesthetic gases,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,603 (9·7%),28 (1·1%),0 (0·4%),2 (<0·1%),0 (<0·1%),NA
