producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
General and special Machinery,Scope 3,land_use,km2,0.41801199786760157,0.008377077049252259
Metal Products,Scope 3,land_use,km2,0.23161326373352087,0.0046415944179167504
Non-metallic mineral products,Scope 3,land_use,km2,0.12581766016081386,0.002521421008728094
Natural gas and gaseous fuels,Scope 3,land_use,km2,0.10541502401709354,0.002112546488724632
Transport Equipment,Scope 3,land_use,km2,0.03212249430447835,0.0006437437470108515
"Electrical, electronic and measuring equipment",Scope 3,land_use,km2,0.006253045787274012,0.00012531278197686532
Private travel,Outside protocol,material_extraction,kt,10.6529,99.99999999999999
"Steam, hot water supply and water distribution",Scope 2,material_extraction,kt,0.14481477081451244,55.31247558004652
Electricity,Scope 2,material_extraction,kt,0.1169973598049912,44.687524419953476
Minerals and Metals,Scope 3,material_extraction,kt,3681.724230832736,85.01007218565405
Chemical,Scope 3,material_extraction,kt,325.7496937337148,7.521477232555897
Non-metallic mineral products,Scope 3,material_extraction,kt,142.39219510809195,3.2877994183922796
Food and catering,Scope 3,material_extraction,kt,48.45004513428763,1.1186991681156977
Services,Scope 3,material_extraction,kt,37.47137518767837,0.8652044829766561
Transport,Scope 3,material_extraction,kt,25.60779962232818,0.5912775531038361
Private travel,Scope 3,material_extraction,kt,14.9822,0.3459351715790603
Natural gas and gaseous fuels,Scope 3,material_extraction,kt,12.492734537128362,0.28845404984535994
Electricity,Scope 3,material_extraction,kt,9.497493492377567,0.21929469910004148
"Steam, hot water supply and water distribution",Scope 3,material_extraction,kt,7.342309586619758,0.1695320531453248
Coal and Petroleum,Scope 3,material_extraction,kt,6.697856127084762,0.15465178735665838
Metal Products,Scope 3,material_extraction,kt,5.601214196092577,0.1293306052499869
Construction,Scope 3,material_extraction,kt,4.614561422713466,0.10654904470161226
"Electrical, electronic and measuring equipment",Scope 3,material_extraction,kt,2.9085351504501373,0.06715733379041103
Waste management and disposal,Scope 3,material_extraction,kt,2.5769228398872777,0.05950049023256962
Paper Products,Scope 3,material_extraction,kt,1.4818868770452291,0.03421638952032406
General and special Machinery,Scope 3,material_extraction,kt,0.5119868257659806,0.01182164504662686
Furniture and timber,Scope 3,material_extraction,kt,0.45793574619012956,0.010573619423747344
Transport Equipment,Scope 3,material_extraction,kt,0.22096832624468563,0.005102102218165094
Textile,Scope 3,material_extraction,kt,0.14512797995085078,0.003350967991698147
Operational impact,Scope 1,waste_generation,kt,42.75704592555413,100.0
"Steam, hot water supply and water distribution",Scope 2,waste_generation,kt,0.27683971234228794,59.046869404715316
Electricity,Scope 2,waste_generation,kt,0.19200768826212122,40.953130595284684
Chemical,Scope 3,waste_generation,kt,68.24645246397291,31.15790133626077
Food and catering,Scope 3,waste_generation,kt,48.75753051329838,22.260238741860558
Waste management and disposal,Scope 3,waste_generation,kt,32.90112601385084,15.021001109656359
Electricity,Scope 3,waste_generation,kt,14.471626605158646,6.607017620099316
Coal and Petroleum,Scope 3,waste_generation,kt,13.686737154228794,6.248676531456589
Paper Products,Scope 3,waste_generation,kt,12.80475123954662,5.846006075814284
"Steam, hot water supply and water distribution",Scope 3,waste_generation,kt,6.136044078794693,2.801409437405684
Services,Scope 3,waste_generation,kt,5.257243820455337,2.400193392394806
Metal Products,Scope 3,waste_generation,kt,4.185028921854108,1.91067394023688
Transport,Scope 3,waste_generation,kt,4.111981177539078,1.8773240102693758
Construction,Scope 3,waste_generation,kt,3.909599357144375,1.7849266392054395
"Electrical, electronic and measuring equipment",Scope 3,waste_generation,kt,1.2193542451375827,0.5566958851671251
Furniture and timber,Scope 3,waste_generation,kt,0.8878044010528795,0.40532688418502705
Non-metallic mineral products,Scope 3,waste_generation,kt,0.8607651440640041,0.392982117958388
Textile,Scope 3,waste_generation,kt,0.44135679602111966,0.20150133828236302
General and special Machinery,Scope 3,waste_generation,kt,0.4170508015061387,0.190404442375909
Minerals and Metals,Scope 3,waste_generation,kt,0.3250493632284511,0.1484012080222475
Transport Equipment,Scope 3,waste_generation,kt,0.2705402095364564,0.12351506711177568
Natural gas and gaseous fuels,Scope 3,waste_generation,kt,0.14413373597815052,0.06580422223711346
