,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Expenditure (MEUR)
Total,4722.446582645355,4045.329415505929,85.36206720060494,4842.390157187368,250.24479413759184,49709.03368460669
Healthcare services,2988.0755886240754,2823.4380386449725,54.334482194162455,3712.73313358957,192.04750366724048,46664.34095919135
Pharmaceuticals and chemical products,954.8201831417873,1113.92267929769,29.704601817679492,1065.8764114352923,54.62098353163027,1950.3076778321415
Medical appliances,151.3515906219891,80.31089760809257,1.1306073869159539,61.980161655428844,3.576306938721678,1094.3850475832037
Release of anaesthetic gases,11.7488924705,0,0,0,0,NA
Release of pMDI propellants,12.551920252536068,0,0,0,0,NA
Private travel,603.898407534464,27.657799955171782,0.19237580184708641,1.8004505070789105,0.0,NA
