Contribution,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Food and food services,10.79216227859346,4.291269620542239,29.20661895680926,40.57334698750037,16.249582166631722
Heat and electricity,1.8455373677378966,0.9301783960494155,0.42141105044912386,0.37861854873999623,0.3513867525026707
Individual travel,16.68618420211102,0.9151970352613724,0.3000949544556859,0.049900127753739275,0.0
"Medical, electrical equipment and machinery",2.5042067258457443,2.8674734260066965,1.9116225297273732,1.6741595590684277,1.9168907676653233
Operational impacts,3.457534292994844,0.0,0.0,0.0,19.976261574349934
Other,7.289123331581762,36.717567603593324,3.441759993911263,5.326195136286242,17.24130404967158
Pharmaceuticals and chemical products,24.498308534072102,37.962716772853625,45.0028475906498,28.950468903874444,25.33431906113392
Services,18.83080389215783,12.35729306163403,16.113181611889857,18.47908279500523,14.889942682470604
Transport,14.096139374905347,3.958304084059306,3.6024633121076235,4.568227941771541,4.040312945574243
