,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"4,994 (100·0%)","4,055 (100·0%)",85 (100·0%),"4,843 (100·0%)",259 (100·0%),"49,709 (100·0%)"
Health-care services,Top-down,"3,030 (60·7%)","2,823 (69·6%)",54 (63·6%),"3,713 (76·7%)",201 (77·6%),"46,664 (93·9%)"
Pharmaceuticals and chemical products,Top-down,955 (19·1%),"1,114 (27·5%)",30 (34·8%),"1,066 (22·0%)",55 (21·1%),"1,950 (3·9%)"
Medical appliances,Top-down,151 (3·0%),80 (2·0%),1 (1·3%),62 (1·3%),4 (1·4%),"1,094 (2·2%)"
Release of anaesthetic gases,Bottom-up,12 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,13 (0·3%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,833 (16·7%),37 (0·9%),0 (0·3%),2 (<0·1%),0 (<0·1%),NA
