,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),5281.4037870882485,77477.50333386465,6.816693310740435
Material extraction (kt),4811.230914787854,53939.28050941755,8.919716520779017
Blue water consumption (Mm3),106.1278905251322,1276.4145753122627,8.314531389550218
Land use (km2),5581.290291720555,99466.18032506436,5.611244217361518
Waste generation (kt),288.60327437412263,10587.34124489906,2.7259277631498895
