indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,4.2852243858170045,9.511942264983384
blue_water_consumption,Mm3,imported,40.765768002901936,90.48805773501662
climate_change,kt CO2eq,domestic,1507.522241280508,40.88906946491284
climate_change,kt CO2eq,imported,2179.3365231971775,59.110930535087164
land_use,km2,domestic,311.15691722460144,10.885080646856393
land_use,km2,imported,2547.4063522580504,89.11491935314362
material_extraction,kt,domestic,1450.8398853460726,59.82335142007546
material_extraction,kt,imported,974.3667453529908,40.176648579924525
waste_generation,kt,domestic,139.17403286354246,60.82179714052838
waste_generation,kt,imported,89.64859225879934,39.17820285947162
