,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Expenditure (MEUR)
Total,3686.85876447768,2425.2066306990714,45.05099238871875,2858.563269482649,228.82262512234254,33429.843657658625
Healthcare services,2511.5969170591493,1671.3247352270942,33.79283839256123,2348.3117368319454,180.2147051239281,30988.900499650783
Pharmaceuticals and chemical products,473.96506708643346,649.1473139654886,9.822855420441659,439.386343112357,44.07144790816947,1620.7864127222908
Medical appliances,136.50684174531128,80.08056501164936,1.2640533846471496,69.26021693860041,4.536472090244098,820.1567452855531
Release of anaesthetic gases,13.1212284611,0,0,0,0,NA
Release of pMDI propellants,10.611,0,0,0,0,NA
Private travel,541.0577101256928,24.654016494832803,0.17124519106882052,1.604972599752538,0.0,NA
