model_id,indicator_id,demand_component_id,purchased_region_id,purchased_industry_id,value
1,1,1,1,2,5.434727331351259e-06
1,1,1,1,3,2.710035470161092e-05
1,1,1,1,4,1.418797227018772e-05
1,1,1,1,5,1.250433403635216e-05
1,1,1,1,8,0.0003382198835695
1,1,1,1,9,0.0002096106829321
1,1,1,1,10,1.7389786520802967e-05
1,1,1,1,11,2.743123031474488e-06
1,1,1,1,12,7.291282537620474e-05
1,1,1,1,13,4.9757451932663775e-05
1,1,1,1,14,3.580032269388154e-05
1,1,1,1,18,1.777268527052462e-05
1,1,1,1,19,3.49762418916342e-08
1,1,1,1,20,1.8688180809568676e-08
1,1,1,1,21,4.405241055856542e-07
1,1,1,1,22,7.645396057245865e-07
1,1,1,1,25,9.920526696804177e-08
1,1,1,1,31,4.101997286937841e-07
1,1,1,1,32,2.023609644128496e-05
1,1,1,1,33,6.63174587889359e-05
1,1,1,1,34,3.502880519173973e-05
1,1,1,1,35,0.0005252773587803
1,1,1,1,36,0.0003142912655308
1,1,1,1,37,6.06761141431071e-07
1,1,1,1,38,3.608754044848564e-05
1,1,1,1,39,1.268057673840433e-05
1,1,1,1,40,0.0038494115504446
1,1,1,1,41,6.927040979609653e-07
1,1,1,1,42,0.0001081889798317
1,1,1,1,43,0.0024086606153466
1,1,1,1,44,0.001500021496236
1,1,1,1,45,2.8885401526299933e-05
1,1,1,1,46,0.0001004228736437
1,1,1,1,47,0.0002485106205429
1,1,1,1,48,1.115234264572638e-05
1,1,1,1,49,0.0001730371383495
1,1,1,1,50,6.186064456861896e-05
1,1,1,1,51,3.1413530568095276e-05
1,1,1,1,52,1.0374495697467967e-06
1,1,1,1,53,3.170241203377185e-06
1,1,1,1,54,0.000190214828155
1,1,1,1,55,8.789774739001429e-06
1,1,1,1,56,3.2389050312537886e-06
1,1,1,1,57,0.0011876968575691
1,1,1,1,58,1.61841894641691e-06
1,1,1,1,59,0.0111825112679647
1,1,1,1,60,0.0205909125324107
1,1,1,1,61,4.551542497378323e-05
1,1,1,1,62,1.8006455905335382e-05
1,1,1,1,63,3.3577835675544694e-05
1,1,1,1,64,0.0011521679802204
1,1,1,1,65,4.845306474899545e-07
1,1,1,1,66,3.826152395628469e-07
1,1,1,1,67,2.1212661474139792e-05
1,1,1,1,68,4.015859036427188e-06
1,1,1,1,69,3.051750160603593e-05
1,1,1,1,70,1.1872787494614256e-05
1,1,1,1,71,1.872204490466614e-05
1,1,1,1,72,0.0001731172690683
1,1,1,1,73,0.0001931645354815
1,1,1,1,74,9.58151313215881e-06
1,1,1,1,76,5.660571155696383e-05
1,1,1,1,77,4.785591024521631e-05
1,1,1,1,78,1.4414394413754416e-05
1,1,1,1,79,1.2680734624630723e-05
1,1,1,1,80,4.209154477632484e-05
1,1,1,1,81,8.706994080566567e-05
1,1,1,1,82,5.1007100923165287e-05
1,1,1,1,84,7.390477882647517e-05
1,1,1,1,85,0.0003795038169882
1,1,1,1,86,0.0004862878720886
1,1,1,1,87,2.3170423164980276e-06
1,1,1,1,88,0.0009446220355045
1,1,1,1,89,0.0001764543523667
1,1,1,1,90,1.4948845880901109e-05
1,1,1,1,91,0.000101122587761
1,1,1,1,92,5.1669701812292545e-06
1,1,1,1,93,2.7195928950519023e-05
1,1,1,1,94,3.9971323880730963e-08
1,1,1,1,95,5.02852987379429e-07
1,1,1,1,96,7.025306448026871e-06
1,1,1,1,97,5.5183471138163656e-06
1,1,1,1,99,7.720963826605524e-07
1,1,1,1,100,1.0186350502008177e-07
1,1,1,1,101,8.388786371144698e-07
1,1,1,1,102,1.6430751014134808e-06
1,1,1,1,103,1.7672214270663099e-09
1,1,1,1,106,8.085778690267959e-11
1,1,1,1,107,2.5572024754915106e-07
1,1,1,1,108,1.0503836080301466e-05
1,1,1,1,109,2.1621444350321097e-05
1,1,1,1,110,2.235003780878504e-05
1,1,1,1,111,1.0500750901038954e-05
1,1,1,1,112,5.933064078779238e-07
1,1,1,1,113,5.943997282907944e-05
1,1,1,1,114,1.2464079894333612e-08
1,1,1,1,115,1.7237883410140333e-05
1,1,1,1,116,1.7297159646059509e-06
1,1,1,1,117,0.0003188773549139
1,1,1,1,118,0.0003048728946214
1,1,1,1,119,0.0177358667968789
1,1,1,1,120,0.0003724674507334
1,1,1,1,121,0.0035914068817221
1,1,1,1,122,2.897384073809745e-05
1,1,1,1,123,7.751730816432799e-07
1,1,1,1,124,4.177299949799708e-06
1,1,1,1,125,2.4832992710176373e-05
