industry_id,industry_code,industry_name,industry_group_id,industry_type
94,RYMS,Recycling of waste and scrap,19.0,MRIO industry
95,BOTW,Recycling of bottles by direct reuse,19.0,MRIO industry
96,POWC,Production of electricity by coal,5.0,MRIO industry
97,POWG,Production of electricity by gas,5.0,MRIO industry
98,POWN,Production of electricity by nuclear,5.0,MRIO industry
99,POWH,Production of electricity by hydro,5.0,MRIO industry
100,POWW,Production of electricity by wind,5.0,MRIO industry
101,POWP,Production of electricity by petroleum and other oil derivatives,5.0,MRIO industry
102,POWB,Production of electricity by biomass and waste,5.0,MRIO industry
103,POWS,Production of electricity by solar photovoltaic,5.0,MRIO industry
104,POWE,Production of electricity by solar thermal,5.0,MRIO industry
105,POWO,"Production of electricity by tide, wave, ocean",5.0,MRIO industry
106,POWM,Production of electricity by Geothermal,5.0,MRIO industry
107,POWZ,Production of electricity nec,5.0,MRIO industry
108,POWT,Transmission of electricity,5.0,MRIO industry
109,POWD,Distribution and trade of electricity,5.0,MRIO industry
110,GASD,Manufacture of gas; distribution of gaseous fuels through mains,11.0,MRIO industry
111,HWAT,Steam and hot water supply,15.0,MRIO industry
112,WATR,"Collection, purification and distribution of water (41)",15.0,MRIO industry
113,CONS,Construction (45),3.0,MRIO industry
114,CONW,Re-processing of secondary construction material into aggregates,3.0,MRIO industry
115,TDMO,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",14.0,MRIO industry
116,TDFU,Retail sale of automotive fuel,14.0,MRIO industry
117,TDWH,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",14.0,MRIO industry
118,TDRT,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",14.0,MRIO industry
119,HORE,Hotels and restaurants (55),6.0,MRIO industry
120,TRAI,Transport via railways,17.0,MRIO industry
121,TLND,Other land transport,17.0,MRIO industry
122,TPIP,Transport via pipelines,17.0,MRIO industry
123,TWAS,Sea and coastal water transport,17.0,MRIO industry
124,TWAI,Inland water transport,17.0,MRIO industry
125,TAIR,Air transport (62),17.0,MRIO industry
126,TAUX,Supporting and auxiliary transport activities; activities of travel agencies (63),14.0,MRIO industry
127,PTEL,Post and telecommunications (64),14.0,MRIO industry
128,FINT,"Financial intermediation, except insurance and pension funding (65)",14.0,MRIO industry
129,FINS,"Insurance and pension funding, except compulsory social security (66)",14.0,MRIO industry
130,FAUX,Activities auxiliary to financial intermediation (67),14.0,MRIO industry
131,REAL,Real estate activities (70),14.0,MRIO industry
132,MARE,Renting of machinery and equipment without operator and of personal and household goods (71),14.0,MRIO industry
133,COMP,Computer and related activities (72),14.0,MRIO industry
134,RESD,Research and development (73),14.0,MRIO industry
135,OBUS,Other business activities (74),14.0,MRIO industry
136,PADF,Public administration and defence; compulsory social security (75),14.0,MRIO industry
137,EDUC,Education (80),14.0,MRIO industry
138,HEAL,Health and social work (85),14.0,MRIO industry
139,INCF,Incineration of waste: Food,19.0,MRIO industry
140,INCP,Incineration of waste: Paper,19.0,MRIO industry
141,INCL,Incineration of waste: Plastic,19.0,MRIO industry
142,INCM,Incineration of waste: Metals and Inert materials,19.0,MRIO industry
143,INCT,Incineration of waste: Textiles,19.0,MRIO industry
144,INCW,Incineration of waste: Wood,19.0,MRIO industry
145,INCO,Incineration of waste: Oil/Hazardous waste,19.0,MRIO industry
146,BIOF,"Biogasification of food waste, incl. land application",19.0,MRIO industry
147,BIOP,"Biogasification of paper, incl. land application",19.0,MRIO industry
148,BIOS,"Biogasification of sewage slugde, incl. land application",19.0,MRIO industry
149,COMF,"Composting of food waste, incl. land application",19.0,MRIO industry
150,COMW,"Composting of paper and wood, incl. land application",19.0,MRIO industry
151,WASF,"Waste water treatment, food",19.0,MRIO industry
152,WASO,"Waste water treatment, other",19.0,MRIO industry
153,LANF,Landfill of waste: Food,19.0,MRIO industry
154,LANP,Landfill of waste: Paper,19.0,MRIO industry
155,LANL,Landfill of waste: Plastic,19.0,MRIO industry
156,LANI,Landfill of waste: Inert/metal/hazardous,19.0,MRIO industry
157,LANT,Landfill of waste: Textiles,19.0,MRIO industry
158,LANW,Landfill of waste: Wood,19.0,MRIO industry
159,ORGA,Activities of membership organisation n.e.c. (91),14.0,MRIO industry
160,RECR,"Recreational, cultural and sporting activities (92)",14.0,MRIO industry
161,OSER,Other service activities (93),14.0,MRIO industry
162,PRHH,Private households with employed persons (95),14.0,MRIO industry
163,EXTO,Extra-territorial organizations and bodies,14.0,MRIO industry
164,BU_COMMUTE,Bottom-up: employee commuting,,bottom-up item
165,BU_TRAVEL,Bottom-up: patient and visitor travel,,bottom-up item
