model_id,capital_treatment_id,indicator_id,value,delta_vs_baseline,pct_vs_baseline,per_capita
1,1,2,4025.0002397773846,0.0,0.0,685.2907232544896
1,2,2,4559.663767962504,534.663528185119,13.283565126313889,776.3217627825873
1,3,2,4874.679503397311,849.6792636199266,21.11004255907624,829.9558865869138
1,1,4,4231.533062292296,0.0,0.0,720.4547031018207
1,2,4,5025.419432278533,793.8863699862377,18.761199742491804,855.6206490049295
1,3,4,5542.299895622287,1310.7668333299916,30.976169015678835,943.6239696160478
1,1,1,95.27125539157144,0.0,0.0,
1,2,1,102.31838307383508,7.047127682263621,7.396908598820747,
1,3,1,105.36138205612544,10.090126664554006,10.590945425336203,
1,1,3,4850.156051198475,0.0,0.0,
1,2,3,5358.339850764002,508.1837995655269,10.47767936126415,
1,3,3,5761.928381813795,911.7723306153192,18.798824635550027,
1,1,13,259.2750606871876,0.0,0.0,44.143797087078326
1,2,13,283.008050869749,23.732990182561423,9.153595459454934,48.18454169287213
1,3,13,300.80706939673155,41.53200870954396,16.018512771520225,51.21497686130594
