model_id,substance_id,mass_kg,gwp100,co2eq_kt
1,3,2670662773.160374,1.0,2670.662773160375
1,1,16630679.94002794,27.0,449.0283583807544
1,2,14677227.258436304,29.8,437.38137230140194
1,5,737566.3858567956,273.0,201.3556233389052
1,6,1177.3412701886427,25200.0,29.669000008753795
1,4,,,155.29988960547564
