model_id,capital_treatment_id,indicator_id,producing_region_id,producing_industry_id,value
1,4,2,1,2,0.0739229029502013
1,4,2,1,3,0.0967752149312831
1,4,2,1,4,0.0094932744415883
1,4,2,1,5,0.0298805109416623
1,4,2,1,6,0.0314578454746071
1,4,2,1,7,9.046320829045508e-05
1,4,2,1,8,0.050254468490425
1,4,2,1,9,0.2334212797744574
1,4,2,1,10,0.0191151201692363
1,4,2,1,11,0.0129232882321793
1,4,2,1,12,0.0580807405330783
1,4,2,1,13,0.0012473713407236
1,4,2,1,14,0.3924682316666548
1,4,2,1,15,4.256663766762054e-06
1,4,2,1,18,0.1001984198121197
1,4,2,1,19,1.8952315632450817e-05
1,4,2,1,20,0.0066639985710825
1,4,2,1,21,0.3557121505012767
1,4,2,1,22,0.5361689082486495
1,4,2,1,25,0.0204053787267401
1,4,2,1,31,0.0057712212618728
1,4,2,1,32,0.1079866845203795
1,4,2,1,33,0.3242284594315151
1,4,2,1,34,0.0200288022371486
1,4,2,1,35,0.0061225424371753
1,4,2,1,36,0.0064524328668823
1,4,2,1,37,0.000830834274594
1,4,2,1,38,0.0003497201267874
1,4,2,1,39,0.0017458695916643
1,4,2,1,40,0.0264890191094661
1,4,2,1,41,0.0004284467453875
1,4,2,1,42,0.0029276629609811
1,4,2,1,43,0.0316371309252017
1,4,2,1,44,0.0425235820289686
1,4,2,1,45,0.0038991107945533
1,4,2,1,46,0.0048482002368035
1,4,2,1,47,0.0092888753750185
1,4,2,1,48,0.0007591112497017
1,4,2,1,49,0.0002709578468919
1,4,2,1,50,0.0321414188594627
1,4,2,1,51,0.0318871658841513
1,4,2,1,52,0.0470465572143441
1,4,2,1,53,0.0570025658068018
1,4,2,1,54,0.1013736489489099
1,4,2,1,55,0.0705748644166656
1,4,2,1,56,0.1084388160615774
1,4,2,1,57,0.4974048876165833
1,4,2,1,58,0.021116716749856
1,4,2,1,59,0.5196795281036859
1,4,2,1,60,0.3983575204541384
1,4,2,1,61,0.0074006324188301
1,4,2,1,62,0.0107397539515464
1,4,2,1,63,0.590112080677863
1,4,2,1,64,0.0105287312376811
1,4,2,1,65,0.0087014756502792
1,4,2,1,66,0.0084432596329857
1,4,2,1,67,0.0152872308790882
1,4,2,1,68,0.0113418052370583
1,4,2,1,69,0.4255894545421789
1,4,2,1,70,0.1080744958444077
1,4,2,1,71,0.1091305622696956
1,4,2,1,72,0.3538913862033878
1,4,2,1,73,0.0751175640173378
1,4,2,1,74,0.0037396298456491
1,4,2,1,76,0.0036022111203455
1,4,2,1,77,0.3336541502085415
1,4,2,1,78,0.00036320402049
1,4,2,1,79,0.0002682509651724
1,4,2,1,80,0.0075696399461917
1,4,2,1,81,0.0188217686005561
1,4,2,1,82,0.0163688894344577
1,4,2,1,84,0.1447210445129728
1,4,2,1,85,0.0542266402585681
1,4,2,1,86,0.0526117682705208
1,4,2,1,87,0.002810716346242
1,4,2,1,88,0.0576416769639914
1,4,2,1,89,0.0139889162506478
1,4,2,1,90,0.0798083290684247
1,4,2,1,91,0.0118556048659342
1,4,2,1,92,0.0020390523022657
1,4,2,1,93,0.0121826310192296
1,4,2,1,94,0.0043971094881166
1,4,2,1,95,0.0005472659131672
1,4,2,1,96,0.31648358801857
1,4,2,1,97,0.128972668442976
1,4,2,1,99,0.000264759345808
1,4,2,1,100,0.0067400193320468
1,4,2,1,101,0.0155369532560613
1,4,2,1,102,0.084508830376845
1,4,2,1,103,0.0011856304401498
1,4,2,1,106,1.1369560152398294e-05
1,4,2,1,108,0.0099288495562364
1,4,2,1,110,0.8443713110151536
1,4,2,1,111,0.3542054558839356
1,4,2,1,112,0.0068855954321005
1,4,2,1,113,0.195014188703255
1,4,2,1,114,0.0060482967574472
1,4,2,1,115,0.0022931384457001
1,4,2,1,116,0.0093537533445179
1,4,2,1,117,0.1922553066558783
1,4,2,1,118,0.2312602023326838
1,4,2,1,119,0.0931098425541445
1,4,2,1,120,0.1768700108262115
1,4,2,1,121,0.1285380684300162
1,4,2,1,122,0.1382423437574366
1,4,2,1,123,0.1504815891389178
1,4,2,1,124,0.0189618955592254
1,4,2,1,125,0.5224850670126536
1,4,2,1,126,0.0161813688093861
1,4,2,1,127,0.0051721446815023
1,4,2,1,128,0.0063042249556894
1,4,2,1,129,0.0009617910126057
1,4,2,1,130,0.0006498147292917
1,4,2,1,131,0.0085025847277964
1,4,2,1,132,0.0047073010534765
1,4,2,1,133,0.002853442409087
1,4,2,1,134,0.0081778418280793
1,4,2,1,135,0.0344805083291966
1,4,2,1,136,0.0012881950491893
1,4,2,1,137,0.0066560308656584
