model_id,indicator_id,demand_component_id,producing_region_id,producing_industry_id,value
1,1,1,1,2,8.437715255581849e-05
1,1,1,1,3,0.0006377628336313
1,1,1,1,4,0.0007235202821142
1,1,1,1,5,0.0001434940685338
1,1,1,1,6,0.0007244165698906
1,1,1,1,8,0.0007611584908873
1,1,1,1,9,0.0022559192395032
1,1,1,1,10,0.0002610889671725
1,1,1,1,11,5.559232773699341e-05
1,1,1,1,12,0.0001138697191259
1,1,1,1,13,7.219927985509457e-05
1,1,1,1,14,2.4088986728970057e-05
1,1,1,1,20,5.3306637459784534e-08
1,1,1,1,21,1.0055139485914772e-05
1,1,1,1,22,1.4152662193046009e-05
1,1,1,1,25,1.0277666174380052e-06
1,1,1,1,31,2.27601915915152e-06
1,1,1,1,32,2.5824444160732305e-06
1,1,1,1,33,1.3903444104576372e-05
1,1,1,1,34,7.329234701119172e-06
1,1,1,1,35,3.68593376582926e-06
1,1,1,1,36,3.289716058331054e-06
1,1,1,1,37,6.316995816766478e-07
1,1,1,1,38,1.8990472245701755e-05
1,1,1,1,39,5.5560154637675545e-05
1,1,1,1,40,3.1233091745484796e-05
1,1,1,1,41,4.47392520265068e-06
1,1,1,1,42,3.2732089583569835e-05
1,1,1,1,43,9.02000436456374e-05
1,1,1,1,44,4.0143370147519824e-05
1,1,1,1,45,1.3640700424896922e-05
1,1,1,1,46,5.678098809744832e-07
1,1,1,1,47,2.483331000481722e-05
1,1,1,1,48,2.2260017129902948e-05
1,1,1,1,49,3.1280872925633127e-06
1,1,1,1,50,4.0403863809872523e-07
1,1,1,1,51,1.6896269384586545e-07
1,1,1,1,52,9.88099868482702e-05
1,1,1,1,53,0.0002755083916294
1,1,1,1,54,0.0014260259602922
1,1,1,1,55,3.921502482115313e-05
1,1,1,1,56,7.612630069204185e-06
1,1,1,1,57,0.0001972451135656
1,1,1,1,58,3.305330172386554e-07
1,1,1,1,59,0.0002682180626359
1,1,1,1,60,0.0001318855007971
1,1,1,1,61,0.013016709202414
1,1,1,1,62,0.0017362552897518
1,1,1,1,63,8.0304136999768e-06
1,1,1,1,64,7.677554964107649e-06
1,1,1,1,65,3.27827078698203e-07
1,1,1,1,66,2.9267911421165576e-07
1,1,1,1,67,7.830697718952216e-05
1,1,1,1,68,3.7972802947495623e-06
1,1,1,1,69,1.587087389580521e-05
1,1,1,1,70,4.605646705655944e-06
1,1,1,1,71,1.962895693119175e-05
1,1,1,1,72,0.0034496008835737
1,1,1,1,73,0.0006260194960347
1,1,1,1,74,8.638400163268703e-07
1,1,1,1,76,8.003633055353018e-05
1,1,1,1,77,7.01626763115648e-05
1,1,1,1,78,2.1013067594627107e-05
1,1,1,1,79,1.834600029554502e-05
1,1,1,1,80,1.537323376894726e-05
1,1,1,1,81,3.668616760789298e-05
1,1,1,1,82,0.0001149781427215
1,1,1,1,84,9.422128866036756e-06
1,1,1,1,85,0.0001935335667813
1,1,1,1,86,1.209209733298208e-05
1,1,1,1,87,1.249018626375329e-12
1,1,1,1,88,2.540477182667031e-05
1,1,1,1,89,6.657988342457225e-07
1,1,1,1,90,1.1087736131180216e-08
1,1,1,1,91,1.6744559698036878e-06
1,1,1,1,93,8.206127512971031e-05
1,1,1,1,94,5.031111001366492e-07
1,1,1,1,95,1.7674442316435164e-05
1,1,1,1,96,0.000491636508854
1,1,1,1,97,0.0009004957153537
1,1,1,1,99,8.791995051816991e-09
1,1,1,1,100,2.3034625666436948e-11
1,1,1,1,101,2.6732932486242503e-05
1,1,1,1,102,1.1549482207050089e-10
1,1,1,1,107,2.633625108465085e-11
1,1,1,1,108,1.5990097761108222e-08
1,1,1,1,109,3.14701104938303e-08
1,1,1,1,110,6.694695787544116e-08
1,1,1,1,111,8.042266933689024e-09
