model_id,indicator_id,scope_id,producing_region_id,producing_industry_id,value
1,2,1,7,165,263.56770753446403
1,2,2,7,138,131.0762816237094
1,2,3,1,96,0.0025867289540211
1,2,3,1,97,0.0007179115943887
1,2,3,1,99,1.0961036385646405e-06
1,2,3,1,100,2.557942125221461e-05
1,2,3,1,101,0.0002101542270265
1,2,3,1,102,0.0007857477864538
1,2,3,1,103,6.9752170013507105e-06
1,2,3,1,106,1.51525910717193e-07
1,2,3,1,108,0.0001995261193878
1,2,3,1,111,0.0182639415522778
1,2,3,2,96,0.0319654790454531
1,2,3,2,97,0.0669499958793071
1,2,3,2,98,0.0003754873864839
1,2,3,2,99,0.0001095141055049
1,2,3,2,100,0.0143480326833105
1,2,3,2,101,0.0003763010955584
1,2,3,2,102,0.0100558247556198
1,2,3,2,103,1.3535332404116425e-06
1,2,3,2,107,0.0009457371865914
1,2,3,2,108,5.608566064293844e-05
1,2,3,2,109,0.0059574741820977
1,2,3,3,96,0.0061259204053556
1,2,3,3,97,2.949094042537175e-07
1,2,3,3,98,9.21977367476132e-09
1,2,3,3,99,6.941076502799929e-08
1,2,3,3,100,1.0823060625871718e-05
1,2,3,3,101,1.1062526736952924e-05
1,2,3,3,102,8.988017347681666e-09
1,2,3,3,107,3.5595548428945876e-10
1,2,3,3,108,6.17200578440737e-06
1,2,3,3,109,1.7596277505523262e-08
1,2,3,3,111,0.0140955475356075
1,2,3,4,100,1.9784246665198367e-12
1,2,3,4,101,2.1146675047767137e-06
1,2,3,4,102,8.093938563236026e-13
1,2,3,4,103,4.503011037008536e-14
1,2,3,4,108,9.353726377227763e-09
1,2,3,4,109,8.995148702096955e-10
1,2,3,5,96,0.0136390097181715
1,2,3,5,97,9.54700348467764e-05
1,2,3,5,98,0.0001491083551653
1,2,3,5,99,5.87372699545034e-07
1,2,3,5,100,0.0032722068465455
1,2,3,5,101,1.5005223548976855e-05
1,2,3,5,102,9.349885662026344e-05
1,2,3,5,103,0.0003968384110879
1,2,3,5,107,8.803184100902541e-06
1,2,3,5,108,0.0002318272935958
1,2,3,5,109,3.118688731190786e-05
1,2,3,5,111,0.5737062452232132
1,2,3,6,96,0.7346778789572398
1,2,3,6,97,0.0192903769748063
1,2,3,6,98,3.801513749558879e-07
1,2,3,6,99,1.2313681495686667e-05
1,2,3,6,100,8.994004981271742e-08
1,2,3,6,101,0.0069527363266878
1,2,3,6,102,0.0167893377258993
1,2,3,6,103,0.004170329090209
1,2,3,6,107,0.0100714937267945
1,2,3,6,108,0.0404035174411285
1,2,3,6,109,0.0105190127684333
1,2,3,6,111,0.9022269988392568
1,2,3,7,96,0.0024112398214006
1,2,3,7,97,2.1507446501174137e-05
1,2,3,7,99,0.0001124284981269
1,2,3,7,100,0.0019312095176152
1,2,3,7,101,0.3845942492312478
1,2,3,7,102,0.000362705061342
1,2,3,7,103,0.0001028338107715
1,2,3,7,108,54.422438038433505
1,2,3,7,109,3.7011313195011697
1,2,3,7,111,4.194322696580718
1,2,3,8,96,0.0258405932981341
1,2,3,8,97,0.0001385252721229
1,2,3,8,99,2.203020925994048e-08
1,2,3,8,100,1.41590356123201e-06
1,2,3,8,101,3.94864815546782e-05
1,2,3,8,102,3.4118745191115186e-06
1,2,3,8,107,4.114731460238684e-06
1,2,3,8,108,1.3098563474839608e-06
1,2,3,8,109,3.2125193150776585e-06
1,2,3,8,111,0.0289404503145173
1,2,3,9,96,0.0630733555654571
1,2,3,9,97,0.018355445790249
1,2,3,9,98,1.8890309457245145e-06
1,2,3,9,99,3.249650466806885e-05
1,2,3,9,100,0.0006838311481157
1,2,3,9,101,0.0125787348817298
1,2,3,9,102,8.885629083336236e-05
1,2,3,9,103,7.316211913996989e-09
1,2,3,9,104,1.8961181264603113e-05
1,2,3,9,107,0.0003014146603014
1,2,3,9,108,3.89765917930189e-05
1,2,3,9,109,5.578733575185091e-05
1,2,3,9,111,1.9168945551144693e-05
1,2,3,10,96,0.0020998727990672
1,2,3,10,97,0.0024789307374123
1,2,3,10,98,2.4077170645290304e-05
1,2,3,10,99,2.1129113639328525e-05
1,2,3,10,100,5.946840779499653e-05
1,2,3,10,101,0.0001792619850338
1,2,3,10,102,0.000162284655749
1,2,3,10,103,0.0001791224040042
1,2,3,10,107,0.0031588906930041
1,2,3,10,108,0.0017800490304006
1,2,3,10,109,2.3600766938298387e-06
1,2,3,10,111,0.1511081567850755
1,2,3,11,96,0.0011649691119366
1,2,3,11,97,0.000844039128794
1,2,3,11,98,1.4006650573767856e-06
1,2,3,11,99,2.7778535643046765e-08
1,2,3,11,100,2.3224580986118407e-06
1,2,3,11,101,1.7598229821934764e-05
1,2,3,11,102,8.750504112241194e-07
1,2,3,11,103,3.8194922374437684e-08
1,2,3,11,105,4.652076052535263e-10
1,2,3,11,107,3.0396557058252246e-10
1,2,3,12,96,0.2148171585602588
1,2,3,12,97,0.0263381440231231
1,2,3,12,99,2.7985872401743573e-08
1,2,3,12,100,1.977350054757869e-07
1,2,3,12,101,0.0019845503050845
1,2,3,12,102,4.162183584912606e-08
1,2,3,12,103,3.928626355228297e-07
1,2,3,12,108,1.8605850893072157e-05
1,2,3,12,109,3.565514175322696e-10
1,2,3,12,111,0.5380045476872217
1,2,3,13,96,0.097493903300216
1,2,3,13,97,0.0087759075829732
1,2,3,13,99,0.0018347664061053
1,2,3,13,100,0.0073614974666731
1,2,3,13,101,0.0022507729542372
1,2,3,13,102,0.0003368897147897
1,2,3,13,108,7.81349046057381e-06
