consuming_country_iso3,analysis_year,indicator,unit,total,direct,supplier_first_order,higher_order,direct_pct,supplier_pct,higher_order_pct,truncation_error_TE0_pct,truncation_error_TE1_pct,per_capita,national_total,share_of_national_pct,intensity_per_meur,domestic_pct,import_pct,lenzen_dk_2015,lenzen_unit,lenzen_note,population,health_expenditure_meur
DNK,2022,climate_change,kt CO2eq,4025.0002397773846,353.33928659046666,1114.9707785732494,2556.6901746136687,8.77861529295236,27.70113570564449,63.52024900140315,91.22138470704763,63.52024900140315,685.2907232544896,67518.62638160589,5.96131831389555,0.09914531750313887,17.511612231334944,82.48838776866506,3370.0,kt CO2eq,SI Tab. 10.1/10.2/10.3/10.4; SI Tab. 7.1 gives 2.84 Mt +/- 0.24,5873420,40596.97766008925
DNK,2022,material_extraction,kt,4231.533062292296,250.267178457847,1935.411874700466,2045.8540091339828,5.914338249841604,45.73784125538699,48.34782049477141,94.0856617501584,48.34782049477141,720.4547031018208,53925.073969175806,7.847060283516882,0.1042327115511434,45.99747151728109,54.002528482718915,,,,5873420,40596.97766008925
DNK,2022,blue_water_consumption,Mm3,95.27125539157144,3.5363082033065196,26.939024649231992,64.79592253903293,3.7118312220953196,28.276130652955857,68.01203812494882,96.28816877790469,68.01203812494883,16.22074624180996,1239.304449261172,7.687477879093284,0.0023467573421169304,4.65261398413859,95.34738601586142,,,,5873420,40596.97766008925
DNK,2022,land_use,km2,4850.156051198475,0.1401951484695427,1155.5230950107698,3694.492761039236,0.002890528613711314,23.824451890063198,76.1726575813231,99.9971094713863,76.1726575813231,825.7805590607304,94679.20092570448,5.122726009278882,0.1194708653389892,7.752074282189522,92.24792571781047,,,,5873420,40596.97766008925
DNK,2022,waste_generation,kt,259.2750606871876,99.29728911275586,71.15826321305524,88.81950836137649,38.298048740043264,27.44508593478139,34.25686532517534,61.701951259956736,34.25686532517535,44.143797087078326,2776.245358159366,9.33905427073223,0.006386560666117764,34.18102859670036,65.81897140329964,,,,5873420,40596.97766008925
DNK,2022,particulate_matter,kt,2.372271016380618,0.19671402553981893,0.4889196421461486,1.6866373486946509,8.292223956769753,20.609771765963526,71.09800427726672,91.70777604323025,71.09800427726671,0.403899434465885,46.16208299553607,5.139003403745926,5.843467058664295e-05,15.799868538245153,84.20013146175485,25.01,kt,"SI Tab. 7.2, +/- 3.09",5873420,40596.97766008925
DNK,2022,nox,kt,15.435860842870138,0.6332245607189546,3.1423927338272084,11.660243548323976,4.102295085223203,20.357742051546722,75.53996286323009,95.8977049147768,75.53996286323009,2.628087356747881,294.95963950630227,5.2332111839797415,0.000380221921250189,20.47266215164228,79.52733784835773,30.67,kt,"SI Tab. 7.3, +/- 3.02",5873420,40596.97766008925
DNK,2022,so2,kt,19.917293992917905,9.450092604188432,2.0025145422996324,8.46468684642984,47.44666924908901,10.054149640064946,42.499181110846045,52.553330750911,42.49918111084604,3.3910896875956267,191.34165679883063,10.409282707245602,0.0004906102656134062,50.97207099562614,49.02792900437386,27.75,kt,"SI Tab. 7.4, +/- 3.34",5873420,40596.97766008925
DNK,2022,reactive_nitrogen_water,kt,4.6709075535441755,0.0,1.7397931910770759,2.9311143624671,0.0,37.24743363325531,62.7525663667447,100.0,62.75256636674469,0.7952619689285246,100.47172820307973,4.6489770177965335,0.00011505554902763435,16.31527866791502,83.68472133208498,1.87,kt,"SI Tab. 7.6, +/- 0.16",5873420,40596.97766008925
DNK,2022,malaria_risk,million people,,,,,,,,,,,,,,,,0.0022,million people,SI Tab. 7.5 - NOT reproducible in EXIOBASE,5873420,40596.97766008925
DNK,2022,scarce_water,GL,,,,,,,,,,,,,,,,8.67,GL,"SI Tab. 7.7 - EXIOBASE gives unweighted blue water, a different concept",5873420,40596.97766008925
