indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,5.903511119420174,5.884421008306041
blue_water_consumption,Mm3,imported,94.42090671348448,94.11557899169397
climate_change,kt CO2eq,domestic,1777.6222806242806,28.576405125422337
climate_change,kt CO2eq,imported,4442.972202209602,71.42359487457767
land_use,km2,domestic,511.9352254519215,8.010109568939681
land_use,km2,imported,5879.178666885105,91.9898904310603
material_extraction,kt,domestic,2653.771401769493,42.1216992947544
material_extraction,kt,imported,3646.4763237537236,57.87830070524559
waste_generation,kt,domestic,145.36635296263293,44.76989246964256
waste_generation,kt,imported,179.33032362912465,55.230107530357444
