,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"5,949 (100·0%)","6,291 (100·0%)",100 (100·0%),"6,390 (100·0%)",316 (100·0%),"49,709 (100·0%)"
Health-care services,Top-down,"4,073 (68·5%)","4,827 (76·7%)",67 (67·3%),"5,093 (79·7%)",250 (79·3%),"46,664 (93·9%)"
Pharmaceuticals and chemical products,Top-down,"1,057 (17·8%)","1,286 (20·4%)",31 (30·9%),"1,187 (18·6%)",60 (18·9%),"1,950 (3·9%)"
Medical appliances,Top-down,191 (3·2%),150 (2·4%),2 (1·6%),108 (1·7%),6 (1·8%),"1,094 (2·2%)"
Release of anaesthetic gases,Bottom-up,12 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,13 (0·2%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,604 (10·2%),28 (0·4%),0 (0·2%),2 (<0·1%),0 (<0·1%),NA
