,Healthcare footprint,National consumption footprint,Healthcare share of national consumption footprint (%)
Global warming (ktCO2eq),5948.762546814726,95112.19776732937,6.254468602825305
Material extraction (kt),6290.796291355804,86872.76191686076,7.241390917646018
Blue water consumption (Mm3),100.2604343669107,1489.3351422597063,6.7318920719744595
Land use (km2),6390.497676476834,123104.84004875136,5.191101888395372
Waste generation (kt),315.6587225173103,11554.681624014636,2.7318686294329564
