Contribution,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt)
Food and food services,636.1444033167465,348.41001672986425,26.338009328964755,2108.0886835003016,47.81430980923125
Heat and electricity,115.41746547447127,83.44086868203406,0.6280690700177597,49.57203415160018,2.027548869303552
Individual travel,603.898407534464,27.657799955171782,0.19237580184708641,1.8004505070789105,0.0
"Medical, electrical equipment and machinery",168.50303127862293,189.37368765403275,2.1655258062729046,129.02881957099177,7.314907565840882
Operational impacts,130.3030621077094,0.0,0.0,0.0,42.75704592555413
Other,754.7073723246197,2258.2000037320977,7.4474326064288565,777.2820287072602,63.193451203008834
Pharmaceuticals and chemical products,1338.7038152875336,1735.4993008457034,39.91739078388625,1537.3345081754183,72.25646708625298
Services,1346.0299346689237,1240.033036614562,18.779251766856074,1407.0222728120395,61.27269181337059
Transport,855.0550548216456,408.18157714235906,4.7923792026368135,380.36887905214707,19.022300244749104
