indicator,unit,producing_sector_group,value
land_use,km2,Food and catering,6283.308605792074
material_extraction,kt,Minerals and Metals,5109.149884612505
climate_change,kt CO2eq,Transport,910.3094426603737
climate_change,kt CO2eq,Food and catering,703.5473270830048
material_extraction,kt,Non-metallic mineral products,666.0567786493674
climate_change,kt CO2eq,Coal and Petroleum,652.4400392457763
climate_change,kt CO2eq,Private travel,603.898407534464
climate_change,kt CO2eq,Electricity,571.2530646217328
climate_change,kt CO2eq,Chemical,391.56042300532994
climate_change,kt CO2eq,"Steam, hot water supply and water distribution",337.11557310159304
climate_change,kt CO2eq,Services,335.5618179477168
climate_change,kt CO2eq,Waste management and disposal,316.55870593757817
climate_change,kt CO2eq,Non-metallic mineral products,305.1120784001336
material_extraction,kt,Chemical,247.0067589900533
climate_change,kt CO2eq,Minerals and Metals,206.3292656808148
climate_change,kt CO2eq,Metal Products,181.63857124008425
climate_change,kt CO2eq,Natural gas and gaseous fuels,143.0300681760306
climate_change,kt CO2eq,Operational impact,130.3030621077094
blue_water_consumption,Mm3,Food and catering,82.3883988376511
waste_generation,kt,Food and catering,57.866470856930846
material_extraction,kt,Food and catering,54.215994244295295
waste_generation,kt,Chemical,48.237403882885395
land_use,km2,Furniture and timber,46.127008949953385
material_extraction,kt,Services,45.68182374947348
material_extraction,kt,Construction,43.88767641354991
waste_generation,kt,Waste management and disposal,42.91737343489913
waste_generation,kt,Operational impact,42.75704592555413
climate_change,kt CO2eq,Construction,39.06900457263921
material_extraction,kt,Transport,29.41541970216564
climate_change,kt CO2eq,Furniture and timber,28.783706718354747
material_extraction,kt,Private travel,27.65779995517178
waste_generation,kt,Construction,26.94892367476839
climate_change,kt CO2eq,Paper Products,25.450014239149056
climate_change,kt CO2eq,"Electrical, electronic and measuring equipment",24.832636819663414
climate_change,kt CO2eq,Textile,21.656675076274066
waste_generation,kt,Electricity,19.515020318085725
land_use,km2,Textile,18.845212200320724
waste_generation,kt,Paper Products,17.261822179603843
waste_generation,kt,Coal and Petroleum,15.229935374629584
material_extraction,kt,Natural gas and gaseous fuels,14.666668686742522
material_extraction,kt,Electricity,13.269611554586595
land_use,km2,Services,13.144869755132945
material_extraction,kt,Metal Products,11.807240239387282
waste_generation,kt,Metal Products,11.111320005365895
climate_change,kt CO2eq,Transport Equipment,10.845795229160894
waste_generation,kt,Services,9.827468229802003
climate_change,kt CO2eq,General and special Machinery,9.46686741715175
material_extraction,kt,"Steam, hot water supply and water distribution",7.808339205262693
waste_generation,kt,"Steam, hot water supply and water distribution",7.803116814972982
blue_water_consumption,Mm3,Chemical,6.957603438093974
material_extraction,kt,Coal and Petroleum,6.847482834995068
land_use,km2,Paper Products,5.876533513929477
land_use,km2,Transport,5.740963850748724
land_use,km2,Construction,5.2986373744237945
blue_water_consumption,Mm3,Electricity,4.9358671579232505
material_extraction,kt,"Electrical, electronic and measuring equipment",4.767130982892546
material_extraction,kt,Waste management and disposal,4.409073593032643
waste_generation,kt,Furniture and timber,3.9953788105889156
waste_generation,kt,Non-metallic mineral products,3.801279020427087
waste_generation,kt,Transport,3.3277156437006883
land_use,km2,Electricity,2.677344447159547
blue_water_consumption,Mm3,Metal Products,2.350981535530848
land_use,km2,Coal and Petroleum,1.8515448242091213
land_use,km2,Private travel,1.8004505070789105
waste_generation,kt,"Electrical, electronic and measuring equipment",1.5812983438255501
land_use,km2,Waste management and disposal,1.5636528685948912
material_extraction,kt,Furniture and timber,1.2451208985954674
material_extraction,kt,General and special Machinery,1.2141008507678124
waste_generation,kt,General and special Machinery,1.1549227729480604
material_extraction,kt,Paper Products,1.0772197997818749
waste_generation,kt,Transport Equipment,1.0367409195076938
land_use,km2,Chemical,0.9377647400052304
land_use,km2,General and special Machinery,0.8709028974669659
land_use,km2,Minerals and Metals,0.8364986161667102
land_use,km2,"Steam, hot water supply and water distribution",0.6541984309976008
waste_generation,kt,Textile,0.6237880479686952
blue_water_consumption,Mm3,Paper Products,0.6117717493233817
blue_water_consumption,Mm3,Services,0.5651528547451744
blue_water_consumption,Mm3,Non-metallic mineral products,0.5345330879149488
waste_generation,kt,Minerals and Metals,0.48033209850736003
land_use,km2,Metal Products,0.4782032268571781
blue_water_consumption,Mm3,Textile,0.4772352763419633
blue_water_consumption,Mm3,"Electrical, electronic and measuring equipment",0.4420401185161154
material_extraction,kt,Transport Equipment,0.4212040985810125
blue_water_consumption,Mm3,General and special Machinery,0.37890242057094964
land_use,km2,Non-metallic mineral products,0.2969509982444742
blue_water_consumption,Mm3,Private travel,0.19237580184708641
material_extraction,kt,Textile,0.19096229462481248
waste_generation,kt,Natural gas and gaseous fuels,0.1813661623397101
blue_water_consumption,Mm3,Furniture and timber,0.17673539448105688
land_use,km2,Natural gas and gaseous fuels,0.10426022550602734
land_use,km2,Transport Equipment,0.07408470007401773
blue_water_consumption,Mm3,Coal and Petroleum,0.06320308462106324
blue_water_consumption,Mm3,Minerals and Metals,0.051221697383093706
blue_water_consumption,Mm3,Transport,0.0449092925123809
blue_water_consumption,Mm3,Transport Equipment,0.03665182407184109
blue_water_consumption,Mm3,Waste management and disposal,0.025597226496113075
blue_water_consumption,Mm3,Construction,0.014057801352618776
land_use,km2,"Electrical, electronic and measuring equipment",0.00998855788970585
blue_water_consumption,Mm3,Natural gas and gaseous fuels,0.007997709501582745
blue_water_consumption,Mm3,"Steam, hot water supply and water distribution",0.005198058031991171
