,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Expenditure (MEUR)
Total,5948.762546814726,6290.796291355804,100.2604343669107,6390.497676476834,315.6587225173103,49709.03368460669
Healthcare services,4073.2457615370395,4827.29051955905,67.45186655692966,5093.484113453198,250.23793582471936,46664.34095919135
Pharmaceuticals and chemical products,1056.765113854961,1286.2183466570632,31.012666066051594,1186.815681691374,59.73819197291718,1950.3076778321415
Medical appliances,190.55245116523642,149.6296251845315,1.6035259420822476,108.39743082516559,5.682594719674,1094.3850475832037
Release of anaesthetic gases,11.7488924705,0,0,0,0,NA
Release of pMDI propellants,12.551920252536068,0,0,0,0,NA
Private travel,603.898407534464,27.657799955171782,0.19237580184708641,1.8004505070789105,0.0,NA
