indicator,unit,producing_world_region,value,share_pct
blue_water_consumption,Mm3,Asia and Pacific,45.16865437590501,45.05132524222566
blue_water_consumption,Mm3,Middle East,22.322054674970744,22.264071381619537
blue_water_consumption,Mm3,Europe,12.945161724497403,12.911535648373148
blue_water_consumption,Mm3,America,8.042208760977251,8.021318490947483
blue_water_consumption,Mm3,Denmark,5.9035111194201715,5.888176284790307
blue_water_consumption,Mm3,Africa,5.6864679092927695,5.671696861478499
blue_water_consumption,Mm3,Unallocated,0.19237580184708641,0.19187609056537
climate_change,kt CO2eq,Europe,1930.2039998365774,32.44715156549836
climate_change,kt CO2eq,Denmark,1598.960533493099,26.878876420260926
climate_change,kt CO2eq,Asia and Pacific,1175.6508665067363,19.762948298150487
climate_change,kt CO2eq,Middle East,388.9467938065569,6.5382807053681855
climate_change,kt CO2eq,America,364.027457375454,6.1193812076155645
climate_change,kt CO2eq,Unallocated,245.7291104137513,4.13076011153491
climate_change,kt CO2eq,Africa,245.2437853825604,4.122601691571572
land_use,km2,Europe,2084.356102551351,32.616491047697
land_use,km2,Asia and Pacific,1444.2290260555442,22.59963306726006
land_use,km2,Africa,1306.3036919103654,20.441345229164504
land_use,km2,America,814.4134926876193,12.744132521719598
land_use,km2,Denmark,511.9352254519215,8.010881958948747
land_use,km2,Middle East,227.45968731295258,3.559342305220181
land_use,km2,Unallocated,1.8004505070789105,0.028173869989911695
material_extraction,kt,Denmark,2653.771401769493,42.18498388536335
material_extraction,kt,Europe,1570.6739377353485,24.96780796881959
material_extraction,kt,Asia and Pacific,1220.4520519595433,19.400597244526317
material_extraction,kt,America,344.30708379388517,5.473187619618151
material_extraction,kt,Middle East,334.53802723644765,5.317896363869476
material_extraction,kt,Africa,139.39598890594274,2.215871925426777
material_extraction,kt,Unallocated,27.65779995517178,0.43965499237634337
waste_generation,kt,Denmark,136.32839888818705,43.188541663286514
waste_generation,kt,Europe,105.68159918239428,33.47970185636117
waste_generation,kt,Asia and Pacific,37.599957771108954,11.91158523080156
waste_generation,kt,Africa,19.30775466265792,6.116654882425761
waste_generation,kt,America,13.189624322384581,4.178444434292872
waste_generation,kt,Middle East,3.551387690578721,1.1250719328321281
