indicator,unit,purchased_world_region,value
climate_change,kt CO2eq,Denmark,2836.910618179706
material_extraction,kt,Denmark,2215.281628744505
land_use,km2,Denmark,1420.713705957018
land_use,km2,Europe,1146.3571952481343
climate_change,kt CO2eq,Europe,897.3578499044199
material_extraction,kt,Europe,821.9999601175637
land_use,km2,Asia and Pacific,521.2120732842976
land_use,km2,Africa,474.6812197653295
land_use,km2,Middle East,421.78127495554185
climate_change,kt CO2eq,Asia and Pacific,274.2033048761768
material_extraction,kt,Asia and Pacific,207.75095905869625
material_extraction,kt,Middle East,192.63790876336842
waste_generation,kt,Denmark,148.56499620065648
land_use,km2,America,132.94527109837463
climate_change,kt CO2eq,Middle East,112.55552448847799
climate_change,kt CO2eq,Africa,81.71363394050033
climate_change,kt CO2eq,America,64.13953027308897
waste_generation,kt,Europe,46.50363175540881
material_extraction,kt,America,34.35377019963944
material_extraction,kt,Africa,26.254673373121456
blue_water_consumption,Mm3,Denmark,19.600765308193655
blue_water_consumption,Mm3,Asia and Pacific,19.13072721412595
blue_water_consumption,Mm3,Europe,16.018060735380885
blue_water_consumption,Mm3,Middle East,15.816956925338546
waste_generation,kt,Asia and Pacific,13.182331506379466
waste_generation,kt,Africa,7.627226391794056
waste_generation,kt,America,3.013445120518285
blue_water_consumption,Mm3,Africa,2.4382759224763517
waste_generation,kt,Middle East,2.2015028820714493
blue_water_consumption,Mm3,America,1.7764222303507868
