,Category group,Climate change (kt CO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Basic price expenditure (million euros)
Total,Total,"4,267 (100·0%)","3,498 (100·0%)",75 (100·0%),"4,118 (100·0%)",221 (100·0%),"40,597 (100·0%)"
Health-care services,Top-down,"2,429 (56·9%)","2,272 (64·9%)",44 (58·5%),"2,988 (72·6%)",163 (73·7%),"37,552 (92·5%)"
Pharmaceuticals and chemical products,Top-down,955 (22·4%),"1,114 (31·8%)",30 (39·7%),"1,066 (25·9%)",55 (24·7%),"1,950 (4·8%)"
Medical appliances,Top-down,151 (3·5%),80 (2·3%),1 (1·5%),62 (1·5%),4 (1·6%),"1,094 (2·7%)"
Release of anaesthetic gases,Bottom-up,12 (0·3%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Release of pMDI propellants,Bottom-up,13 (0·3%),0 (<0·1%),0 (<0·1%),0 (<0·1%),0 (<0·1%),NA
Private travel,Bottom-up,708 (16·6%),32 (0·9%),0 (0·3%),2 (<0·1%),0 (<0·1%),NA
