,Global warming (ktCO2eq),Material extraction (kt),Blue water consumption (Mm3),Land use (km2),Waste generation (kt),Expenditure (MEUR)
Total,4652.07075929835,4256.2044622923,95.44235539157151,4851.7624511984795,259.2750606871883,40596.97766008925
Healthcare services,2427.749665319449,2272.11072830353,43.72469245665555,2987.754882060503,162.89584338647606,37552.28493467391
Pharmaceuticals and chemical products,1440.5932487943342,1828.5560680238682,49.50238177359367,1758.8063892854236,90.18283338342928,1950.3076778321415
Medical appliances,156.6573256636081,130.8662659648935,2.044181161322273,103.594779852551,6.1963839172817785,1094.3850475832037
Release of anaesthetic gases,11.5721119865,0,0,0,0,NA
Release of pMDI propellants,11.6,0,0,0,0,NA
Private travel,603.898407534464,24.6714,0.1711,1.6064,0.0,NA
