indicator,unit,producing_world_region,value
material_extraction,kt,Denmark,1673.474386668665
land_use,km2,Europe,1283.7317370153382
climate_change,kt CO2eq,Denmark,1276.4139303250709
climate_change,kt CO2eq,Europe,1253.6423167586588
land_use,km2,Asia and Pacific,943.2329027645989
land_use,km2,Africa,874.8413536493346
material_extraction,kt,Europe,747.9281664964484
climate_change,kt CO2eq,Asia and Pacific,711.8210515525461
material_extraction,kt,Asia and Pacific,620.4874316756458
land_use,km2,America,448.13853599232544
land_use,km2,Denmark,372.6031115380696
climate_change,kt CO2eq,Middle East,269.47064547919206
climate_change,kt CO2eq,Unallocated,245.7291104137513
climate_change,kt CO2eq,America,239.23895759925563
material_extraction,kt,Middle East,221.3170408885493
land_use,km2,Middle East,193.06381419155605
climate_change,kt CO2eq,Africa,165.8046472122438
material_extraction,kt,America,127.63451963730402
waste_generation,kt,Denmark,115.259906438009
material_extraction,kt,Africa,75.50275984270445
waste_generation,kt,Europe,58.722498931218496
blue_water_consumption,Mm3,Asia and Pacific,32.35625646897604
material_extraction,kt,Unallocated,27.65779995517178
waste_generation,kt,Asia and Pacific,23.881734706348507
blue_water_consumption,Mm3,Middle East,18.788566378915714
waste_generation,kt,Africa,13.139220842043914
blue_water_consumption,Mm3,Europe,9.831889507038822
waste_generation,kt,America,7.727189392634604
blue_water_consumption,Mm3,America,5.553611055956144
blue_water_consumption,Mm3,Denmark,4.056230039305757
blue_water_consumption,Mm3,Africa,3.9733482110584406
waste_generation,kt,Middle East,2.3625835465739664
land_use,km2,Unallocated,1.8004505070789105
blue_water_consumption,Mm3,Unallocated,0.19237580184708641
