indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,19.600765308193655,26.210816519787144
blue_water_consumption,Mm3,imported,55.180443027672524,73.78918348021286
climate_change,kt CO2eq,domestic,2836.910618179706,66.4867610815244
climate_change,kt CO2eq,imported,1429.969843482664,33.51323891847558
land_use,km2,domestic,1420.713705957018,34.5026811277845
land_use,km2,imported,2696.9770343516775,65.4973188722155
material_extraction,kt,domestic,2215.281628744505,63.324900384066765
material_extraction,kt,imported,1282.9972715123893,36.67509961593323
waste_generation,kt,domestic,148.56499620065648,67.19566257397277
waste_generation,kt,imported,72.52813765617206,32.80433742602722
